"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","-1.36","MIN","DET","5","2021-10-10","2","12:16","1","10","(12:16) 8-K.Cousins pass short left to 19-A.Thielen to DET 4 for 20 yards (34-A.Anzalone). PENALTY on MIN-89-C.Herndon, Offensive Holding, 10 yards, enforced at DET 24 - No Play.","24.00","Box Score"
"","-1.37","KC","DEN","18","2022-01-08","2","3:00","2","6","(3:00) 31-Da.Williams left end to DEN 3 for 3 yards (50-J.Griffith). PENALTY on KC-52-C.Humphrey, Offensive Holding, 10 yards, enforced at DEN 6 - No Play.","6.00","Box Score"
"","-1.37","SEA","HOU","14","2021-12-12","3","5:26","2","7","(5:26) 3-R.Wilson pass deep right to 14-D.Metcalf for 23 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on SEA-66-G.Jackson, Offensive Holding, 10 yards, enforced at HOU 23 - No Play.","23.00","Box Score"
"","-1.40","CHI","LA","1","2021-09-12","1","12:26","3","1","(12:26) PENALTY on CHI-85-C.Kmet, False Start, 5 yards, enforced at LA 3 - No Play.","3.00","Box Score"
"","-1.41","SF","TEN","16","2021-12-23","2","9:40","3","11","(9:40) (Shotgun) 10-J.Garoppolo scrambles right tackle to TEN 17 for 4 yards (31-K.Byard). PENALTY on SF-71-T.Williams, Face Mask (15 Yards), 15 yards, enforced at TEN 21 - No Play. Penalty on TEN-48-B.Dupree, Defensive Offside, superseded.","21.00","Box Score"
"","-1.41","PIT","DET","10","2021-11-14","2","6:41","1","7","(6:41) 22-N.Harris left tackle for 7 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on PIT-65-D.Moore, Offensive Holding, 10 yards, enforced at DET 7 - No Play.","7.00","Box Score"
"","-1.42","IND","SF","7","2021-10-24","4","8:14","3","2","(8:14) (Shotgun) 2-C.Wentz right tackle to SF 16 for 3 yards (51-A.Al-Shaair). PENALTY on IND-69-M.Pryor, Offensive Holding, 10 yards, enforced at SF 19 - No Play.","19.00","Box Score"
"","-1.43","JAX","ATL","12","2021-11-28","4","7:29","1","6","(7:29) (Shotgun) 25-J.Robinson up the middle to ATL 3 for 3 yards (51-B.Copeland). PENALTY on JAX-75-J.Taylor, Offensive Holding, 10 yards, enforced at ATL 6 - No Play.","6.00","Box Score"
"","-1.43","GB","ARI","8","2021-10-28","4","3:39","3","1","(3:39) PENALTY on GB, Delay of Game, 4 yards, enforced at ARI 1 - No Play.","1.00","Box Score"
"","-1.45","DAL","MIN","8","2021-10-31","4","1:18","2","3","(1:18) (Shotgun) 10-C.Rush pass incomplete short left. PENALTY on DAL-52-C.Williams, Offensive Holding, 10 yards, enforced at MIN 12 - No Play.","12.00","Box Score"
"","-1.46","WAS","NYG","2","2021-09-16","3","2:30","3","7","(2:30) (Shotgun) 4-T.Heinicke pass short middle to 13-A.Humphries to NYG 16 for 6 yards (30-D.Holmes) [54-B.Martinez]. PENALTY on WAS-76-S.Cosmi, Offensive Holding, 10 yards, enforced at NYG 22 - No Play.","22.00","Box Score"
"","-1.47","MIN","SEA","3","2021-09-26","2","6:01","2","3","(6:01) 25-A.Mattison left tackle to SEA 2 for 3 yards (51-K.Hyder). PENALTY on MIN-56-G.Bradbury, Offensive Holding, 10 yards, enforced at SEA 5 - No Play.","5.00","Box Score"
"","-1.47","CHI","TB","7","2021-10-24","3","7:47","3","2","(7:47) (No Huddle, Shotgun) 1-J.Fields pass incomplete short left to 8-D.Williams (51-K.Minter). PENALTY on CHI-65-C.Whitehair, Offensive Holding, 10 yards, enforced at TB 15 - No Play.","15.00","Box Score"
"","-1.48","PHI","DAL","18","2022-01-08","2","5:10","2","4","(5:10) 32-J.Huntley right end to DAL 24 for no gain (6-D.Wilson; 24-K.Joseph). PENALTY on PHI-83-N.Togiai, Offensive Holding, 10 yards, enforced at DAL 24 - No Play.","24.00","Box Score"
"","-1.50","SF","HOU","17","2022-01-02","4","3:33","2","3","(3:33) (Shotgun) 5-T.Lance left guard for 3 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on SF-11-B.Aiyuk, Offensive Holding, 10 yards, enforced at HOU 3 - No Play.","3.00","Box Score"
"","-1.50","PIT","CIN","3","2021-09-26","4","10:41","1","3","(10:41) (Shotgun) 7-B.Roethlisberger pass short left to 88-P.Freiermuth to CIN 4 for -1 yards (30-J.Bates). PENALTY on PIT-11-C.Claypool, Offensive Pass Interference, 10 yards, enforced at CIN 3 - No Play.","3.00","Box Score"
"","-1.52","LV","CHI","5","2021-10-10","1","4:22","2","2","(4:22) (Shotgun) 28-J.Jacobs right end for 2 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on LV-87-F.Moreau, Offensive Holding, 10 yards, enforced at CHI 2 - No Play. Penalty on LV-75-B.Parker, Offensive Holding, declined.","2.00","Box Score"
"","-1.54","BUF","JAX","9","2021-11-07","2","12:39","1","10","(12:39) (No Huddle, Shotgun) 17-J.Allen pass incomplete short middle to 11-C.Beasley. PENALTY on BUF-73-D.Dawkins, Unnecessary Roughness, 15 yards, enforced at JAX 24 - No Play.","24.00","Box Score"
"","-1.55","DEN","PIT","5","2021-10-10","4","11:34","2","3","(11:34) (Shotgun) 5-T.Bridgewater sacked at PIT 4 for -1 yards (92-I.Loudermilk). PENALTY on DEN-79-L.Cushenberry, Offensive Holding, 10 yards, enforced at PIT 3 - No Play.","3.00","Box Score"
"","-1.55","NO","TEN","10","2021-11-14","4","7:34","2","3","(7:34) (Shotgun) 15-T.Siemian pass short left to 10-T.Smith to TEN 1 for 2 yards (26-K.Fulton). PENALTY on NO-1-M.Callaway, Offensive Pass Interference, 10 yards, enforced at TEN 3 - No Play.","3.00","Box Score"
"","-1.55","HOU","JAX","1","2021-09-12","2","1:18","2","2","(1:18) (Shotgun) 5-Ty.Taylor pass incomplete short right to 12-N.Collins. PENALTY on HOU-12-N.Collins, Offensive Pass Interference, 10 yards, enforced at JAX 2 - No Play.","2.00","Box Score"
"","-1.56","CLE","CIN","9","2021-11-07","4","6:10","1","3","(6:10) 30-D.Johnson right end to CIN 6 for -3 yards (24-V.Bell; 57-G.Pratt). PENALTY on CLE-85-D.Njoku, Offensive Holding, 10 yards, enforced at CIN 3 - No Play.","3.00","Box Score"
"","-1.56","CLE","CIN","9","2021-11-07","3","5:46","3","1","(5:46) PENALTY on CLE-30-D.Johnson, False Start, 5 yards, enforced at CIN 1 - No Play.","1.00","Box Score"
"","-1.57","LAC","PIT","11","2021-11-21","3","4:21","3","3","(4:21) (Shotgun) 10-J.Herbert scrambles up the middle to PIT 3 for 15 yards (25-A.Witherspoon). PENALTY on LAC-63-C.Linsley, Offensive Holding, 10 yards, enforced at PIT 18 - No Play.","18.00","Box Score"
"","-1.58","LV","PIT","2","2021-09-19","2","0:22","2","7","(:22) (Shotgun) 4-D.Carr pass short middle to 89-B.Edwards for 7 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on LV-70-A.Leatherwood, Offensive Holding, 10 yards, enforced at PIT 7 - No Play.","7.00","Box Score"
"","-1.61","LV","CLE","15","2021-12-20","1","4:49","2","2","(4:49) (Shotgun) 28-J.Jacobs left guard to CLE 2 for no gain (97-M.Jackson). PENALTY on LV-86-D.Helm, Offensive Holding, 10 yards, enforced at CLE 2 - No Play.","2.00","Box Score"
"","-1.61","BAL","CLE","12","2021-11-28","2","3:56","4","1","(3:56) (Run formation) PENALTY on BAL-70-K.Zeitler, False Start, 5 yards, enforced at CLE 1 - No Play.","1.00","Box Score"
"","-1.62","ARI","DAL","17","2022-01-02","1","7:55","3","1","(7:55) PENALTY on ARI-79-J.Jones, False Start, 5 yards, enforced at DAL 1 - No Play.","1.00","Box Score"
"","-1.62","PHI","ATL","1","2021-09-12","2","0:15","1","4","(:15) (Shotgun) 1-J.Hurts pass short right to 14-K.Gainwell for 4 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on PHI-65-L.Johnson, Ineligible Downfield Pass, 5 yards, enforced at ATL 4 - No Play.","4.00","Box Score"
