"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","-0.03","CIN","TEN","20","2022-01-22","2","11:30","4","6","(11:30) 10-K.Huber punts 39 yards to TEN 21, Center-46-C.Harris. 80-C.Rogers to TEN 26 for 5 yards (51-M.Bailey). PENALTY on TEN-81-R.McMath, Offensive Holding, 10 yards, enforced at TEN 26.","Box Score"
"","-0.22","GB","SF","20","2022-01-22","4","3:33","4","11","(3:33) (Punt formation) PENALTY on GB-58-I.McDuffie, False Start, 5 yards, enforced at GB 28 - No Play.","Box Score"
"","-0.48","GB","SF","20","2022-01-22","2","7:04","4","2","(7:04) (Shotgun) PENALTY on GB, Delay of Game, 5 yards, enforced at GB 46 - No Play.","Box Score"
"","-0.60","CIN","TEN","20","2022-01-22","1","8:39","4","14","(8:39) 10-K.Huber punts 48 yards to TEN 25, Center-46-C.Harris, fair catch by 80-C.Rogers. PENALTY on CIN-33-T.Flowers, Fair Catch Interference, 15 yards, enforced at TEN 25.","Box Score"
"","-1.28","TB","LA","20","2022-01-23","4","12:28","4","14","(12:28) (Shotgun) 12-T.Brady pass incomplete deep left to 13-M.Evans (5-J.Ramsey). PENALTY on LA-20-E.Weddle, Unnecessary Roughness, 14 yards, enforced between downs.","Box Score"
