Rank,Expected Points Added (EPA),Offense,Defense,Week,Date,Quarter,Time,Down,Distance,Description,Box Scores,Yard Line (Distance from Off. EZ)
,-0.8,SEA,SF,19,2023-01-14,3,2:44,2,9,"(2:44) (Shotgun) 7-G.Smith pass short right to 16-T.Lockett to SF 7 for 7 yards (54-F.Warner). 0 YAC PENALTY on SEA-68-D.Lewis, Ineligible Downfield Pass, 5 yards, enforced at SF 14 - No Play.",Box Score,14.0
,-1.16,MIN,NYG,19,2023-01-15,4,12:41,4,1,"(12:41) (Run formation) 64-B.Brandel reported in as eligible.  PENALTY on MIN-71-C.Darrisaw, False Start, 4 yards, enforced at NYG 16 - No Play.",Box Score,16.0
,-1.31,BAL,CIN,19,2023-01-15,4,0:29,2,10,"(:29) 43-J.Hill up the middle pushed ob at CIN 13 for 4 yards (20-E.Apple). PENALTY on BAL-70-K.Zeitler, Offensive Holding, 10 yards, enforced at CIN 17 - No Play.",Box Score,17.0
,0.34,BUF,MIA,19,2023-01-15,1,15:00,1,10,"(15:00) 17-J.Allen pass incomplete deep right to 14-S.Diggs. PENALTY on MIA-55-J.Baker, Defensive Holding, 5 yards, enforced at BUF 25 - No Play.",Box Score,
,-0.77,CIN,BAL,19,2023-01-15,4,4:34,1,10,"(4:34) (Shotgun) 28-J.Mixon left tackle to CIN 26 for 7 yards (99-O.Oweh; 36-C.Clark). PENALTY on CIN-79-J.Carman, Offensive Holding, 9 yards, enforced at CIN 19 - No Play.",Box Score,
,-0.89,SEA,SF,19,2023-01-14,4,13:22,1,10,"(13:22) 9-K.Walker right end to SEA 44 for 10 yards (51-A.Al-Shaair; 92-K.Hyder). PENALTY on SEA-78-S.Forsythe, Offensive Holding, 10 yards, enforced at SEA 34 - No Play.",Box Score,
,3.14,CIN,BAL,19,2023-01-15,4,8:55,4,3,"(8:55) 4-D.Chrisman punts 58 yards to BAL 10, Center-48-C.Adomitis. 3-J.Proche ran ob at BAL 30 for 20 yards (59-A.Davis-Gaither). PENALTY on BAL-26-G.Stone, Roughing the Kicker, 15 yards, enforced at CIN 32 - No Play.",Box Score,
,-0.21,CIN,BAL,19,2023-01-15,4,3:25,4,6,"(3:25) (Punt formation) PENALTY on CIN-23-D.Hill, False Start, 5 yards, enforced at CIN 23 - No Play.",Box Score,
,-0.3,MIA,BUF,19,2023-01-15,4,2:29,4,1,"(2:29) (Shotgun) PENALTY on MIA, Delay of Game, 4 yards, enforced at MIA 48 - No Play.",Box Score,
,-0.48,SF,SEA,19,2023-01-14,2,3:43,4,3,"(3:43) (Punt formation) PENALTY on SF-33-T.Moore, False Start, 5 yards, enforced at SF 32 - No Play.",Box Score,
,-1.08,CIN,BAL,19,2023-01-15,4,3:25,4,11,"(3:25) 4-D.Chrisman punts 49 yards to BAL 33, Center-48-C.Adomitis. 3-J.Proche pushed ob at BAL 49 for 16 yards (59-A.Davis-Gaither). PENALTY on CIN-23-D.Hill, Player Out of Bounds on Kick, 5 yards, enforced at BAL 49.",Box Score,
