"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","3.18","KC","PIT","19","2022-01-16","2","2:00","3","7","(2:00) (Shotgun) 15-P.Mahomes pass short right to 13-B.Pringle for 12 yards, TOUCHDOWN. PENALTY on PIT-56-A.Highsmith, Roughing the Passer, 15 yards, enforced between downs.","12.00","Box Score"
"","-0.76","CIN","LV","19","2022-01-15","1","1:44","3","3","(1:44) (Shotgun) PENALTY on CIN-77-H.Adeniji, False Start, 5 yards, enforced at LV 8 - No Play.","8.00","Box Score"
"","-1.11","LV","CIN","19","2022-01-15","3","0:32","2","9","(:32) (Shotgun) 28-J.Jacobs right guard to CIN 1 for 8 yards (55-L.Wilson; 24-V.Bell). PENALTY on LV-76-J.Simpson, Offensive Holding, 10 yards, enforced at CIN 9 - No Play.","9.00","Box Score"
"","-1.29","BUF","NE","19","2022-01-15","3","9:19","1","10","(9:19) (Shotgun) 17-J.Allen pass short left to 11-C.Beasley to NE 17 for 7 yards (54-D.Hightower). PENALTY on BUF-88-D.Knox, Offensive Pass Interference, 10 yards, enforced at NE 24 - No Play.","24.00","Box Score"
"","-1.43","LA","ARI","19","2022-01-17","3","1:51","2","2","(1:51) 23-C.Akers left end to ARI 5 for 11 yards (3-B.Baker). ARI-3-B.Baker was injured during the play. He is Out.  PENALTY on LA-73-D.Edwards, Offensive Holding, 10 yards, enforced at ARI 15.","16.00","Box Score"
