"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","0.14","PHI","TB","19","2022-01-16","1","6:11","2","1","(6:11) 1-J.Hurts pass incomplete short left. PENALTY on TB-90-J.Pierre-Paul, Defensive Offside, 5 yards, enforced at PHI 28 - No Play.","Box Score"
"","-0.09","PHI","TB","19","2022-01-16","2","2:23","1","10","(2:23) (Shotgun) 1-J.Hurts pass short left to 88-D.Goedert pushed ob at TB 29 for 32 yards (35-J.Dean). PENALTY on PHI-62-J.Kelce, Offensive Holding, 10 yards, enforced at PHI 49.","Box Score"
"","-0.13","LV","CIN","19","2022-01-15","1","0:39","2","8","(:39) PENALTY on LV-75-B.Parker, False Start, 2 yards, enforced at LV 4 - No Play.","Box Score"
"","-0.20","NE","BUF","19","2022-01-15","2","4:49","3","15","(4:49) (Shotgun) PENALTY on NE, Delay of Game, 5 yards, enforced at NE 42 - No Play.","Box Score"
"","-0.20","SF","DAL","19","2022-01-16","4","2:51","4","6","(2:51) (Punt formation) PENALTY on SF-45-D.Flannigan-Fowles, False Start, 5 yards, enforced at SF 46 - No Play.","Box Score"
"","-0.32","SF","DAL","19","2022-01-16","1","6:01","3","16","(6:01) (Shotgun) PENALTY on SF, Delay of Game, 5 yards, enforced at DAL 40 - No Play.","Box Score"
"","-0.38","SF","DAL","19","2022-01-16","4","0:40","4","1","(:40) (Run formation) PENALTY on SF-71-T.Williams, False Start, 4 yards, enforced at DAL 38 - No Play.","Box Score"
"","-0.42","ARI","LA","19","2022-01-17","4","3:38","3","10","(3:38) (Shotgun) PENALTY on ARI-68-K.Beachum, False Start, 5 yards, enforced at ARI 38 - No Play.","Box Score"
"","-0.44","SF","DAL","19","2022-01-16","4","1:31","1","10","(1:31) PENALTY on SF-71-T.Williams, False Start, 5 yards, enforced at DAL 47 - No Play.","Box Score"
"","-0.47","ARI","LA","19","2022-01-17","2","2:46","1","10","(2:46) (Shotgun) PENALTY on ARI-68-K.Beachum, False Start, 5 yards, enforced at ARI 10 - No Play.","Box Score"
"","-0.50","TB","PHI","19","2022-01-16","3","1:51","3","12","(1:51) (Shotgun) PENALTY on TB-66-R.Jensen, False Start, 5 yards, enforced at TB 32 - No Play.","Box Score"
"","-0.52","LA","ARI","19","2022-01-17","1","12:29","2","5","(12:29) PENALTY on LA-89-T.Higbee, False Start, 5 yards, enforced at ARI 40 - No Play.","Box Score"
"","-0.54","DAL","SF","19","2022-01-16","3","7:03","1","10","(7:03) (No Huddle, Shotgun) 4-D.Prescott pass short left to 86-D.Schultz to DAL 45 for 8 yards (3-J.Tartt). PENALTY on DAL-1-C.Wilson, Illegal Block Above the Waist, 10 yards, enforced at DAL 42.","Box Score"
"","-0.55","DAL","SF","19","2022-01-16","3","1:02","2","20","(1:02) (Shotgun) 4-D.Prescott pass short left to 88-C.Lamb pushed ob at DAL 38 for 18 yards (57-D.Greenlaw). SF-56-S.Ebukam was injured during the play. His return is Questionable.  PENALTY on DAL-88-C.Lamb, Illegal Shift, 5 yards, enforced at DAL 20 - No Play.","Box Score"
"","-0.58","SF","DAL","19","2022-01-16","4","11:03","1","10","(11:03) 19-D.Samuel left end pushed ob at DAL 43 for 13 yards (7-T.Diggs). PENALTY on SF-11-B.Aiyuk, Offensive Holding, 10 yards, enforced at SF 49.","Box Score"
"","-0.62","SF","DAL","19","2022-01-16","4","4:36","3","7","(4:36) (Shotgun) PENALTY on SF-75-L.Tomlinson, False Start, 5 yards, enforced at SF 42 - No Play.","Box Score"
"","-0.62","NE","BUF","19","2022-01-15","1","8:30","1","10","(8:30) 71-M.Onwenu reported in as eligible.  PENALTY on NE-47-Jak.Johnson, False Start, 5 yards, enforced at NE 24 - No Play.","Box Score"
"","-0.62","KC","PIT","19","2022-01-16","1","1:38","3","6","(1:38) (Shotgun) PENALTY on KC-65-T.Smith, False Start, 5 yards, enforced at KC 37 - No Play.","Box Score"
"","-0.63","LV","CIN","19","2022-01-15","4","6:11","2","7","(6:11) (Shotgun) 4-D.Carr pass short middle to 28-J.Jacobs ran ob at LV 45 for 19 yards (24-V.Bell). PENALTY on LV-70-A.Leatherwood, Ineligible Downfield Pass, 5 yards, enforced at LV 26 - No Play.","Box Score"
"","-0.64","LV","CIN","19","2022-01-15","1","3:47","2","10","(3:47) (Shotgun) PENALTY on LV-74-K.Miller, False Start, 5 yards, enforced at LV 38 - No Play.","Box Score"
"","-0.65","NE","BUF","19","2022-01-15","3","7:51","3","2","(7:51) PENALTY on NE, Offensive Too Many Men on Field, 4 yards, enforced at NE 33 - No Play.","Box Score"
"","-0.65","DAL","SF","19","2022-01-16","3","13:44","3","4","(13:44) (Shotgun) PENALTY on DAL-52-C.Williams, False Start, 5 yards, enforced at DAL 31 - No Play.","Box Score"
"","-0.66","LV","CIN","19","2022-01-15","1","10:39","2","1","(10:39) PENALTY on LV-83-D.Waller, False Start, 4 yards, enforced at CIN 26 - No Play.","Box Score"
"","-0.66","SF","DAL","19","2022-01-16","4","2:51","4","1","(2:51) (Shotgun) PENALTY on SF, Delay of Game, 5 yards, enforced at DAL 49 - No Play.","Box Score"
"","-0.69","KC","PIT","19","2022-01-16","2","8:42","1","10","(8:42) (Shotgun) PENALTY on KC-81-B.Bell, False Start, 5 yards, enforced at PIT 40 - No Play.","Box Score"
"","-0.73","PIT","KC","19","2022-01-16","1","4:15","3","8","(4:15) (Shotgun) PENALTY on PIT-18-D.Johnson, False Start, 5 yards, enforced at PIT 43 - No Play.","Box Score"
"","-0.75","DAL","SF","19","2022-01-16","4","13:26","1","10","(13:26) (Shotgun) PENALTY on DAL, Delay of Game, 5 yards, enforced at SF 36 - No Play.","Box Score"
"","-0.75","CIN","LV","19","2022-01-15","3","12:03","1","10","(12:03) 28-J.Mixon left tackle to LV 26 for 3 yards (42-C.Littleton). PENALTY on CIN, Illegal Formation, 5 yards, enforced at LV 29 - No Play.","Box Score"
"","-0.76","SF","DAL","19","2022-01-16","3","10:28","1","10","(10:28) (Shotgun) 25-E.Mitchell up the middle to SF 18 for 11 yards (27-J.Kearse; 6-D.Wilson). PENALTY on SF-75-L.Tomlinson, Offensive Holding, 4 yards, enforced at SF 8.","Box Score"
"","-0.76","CIN","LV","19","2022-01-15","1","1:44","3","3","(1:44) (Shotgun) PENALTY on CIN-77-H.Adeniji, False Start, 5 yards, enforced at LV 8 - No Play.","Box Score"
"","-0.77","PIT","KC","19","2022-01-16","4","11:37","1","10","(11:37) (No Huddle, Shotgun) 7-B.Roethlisberger pass incomplete short middle to 13-J.Washington (90-J.Reed) [55-F.Clark]. PENALTY on PIT-65-D.Moore, Offensive Holding, 10 yards, enforced at PIT 42 - No Play.","Box Score"
"","-0.82","PHI","TB","19","2022-01-16","2","2:00","1","10","(2:00) (Shotgun) 1-J.Hurts pass short right to 6-D.Smith to PHI 48 for 9 yards (45-D.White; 31-A.Winfield). PENALTY on PHI-16-Q.Watkins, Offensive Pass Interference, 10 yards, enforced at PHI 39 - No Play.","Box Score"
"","-0.88","LA","ARI","19","2022-01-17","2","4:41","2","10","(4:41) (Shotgun) 9-M.Stafford pass short middle to 3-O.Beckham to ARI 27 for 24 yards (20-M.Wilson). PENALTY on LA-77-A.Whitworth, Offensive Holding, 10 yards, enforced at LA 49 - No Play.","Box Score"
"","-0.90","DAL","SF","19","2022-01-16","2","1:19","1","10","(1:19) (Shotgun) 4-D.Prescott pass incomplete short middle to 20-T.Pollard (54-F.Warner). SF-97-N.Bosa was injured during the play. His return is Questionable.  PENALTY on DAL-71-L.Collins, Offensive Holding, 10 yards, enforced at SF 39 - No Play. Injury update: Jordan Willis has an ankle injury; his return status is questionable.","Box Score"
"","-0.94","LV","CIN","19","2022-01-15","3","6:47","1","10","(6:47) (Shotgun) 4-D.Carr pass deep right to 1-D.Jackson ran ob at CIN 38 for 35 yards (30-J.Bates III). PENALTY on LV-70-A.Leatherwood, Offensive Holding, 10 yards, enforced at LV 27 - No Play.","Box Score"
"","-0.96","DAL","SF","19","2022-01-16","3","13:27","3","9","(13:27) (Shotgun) PENALTY on DAL-71-L.Collins, False Start, 5 yards, enforced at DAL 26 - No Play.","Box Score"
"","-0.98","CIN","LV","19","2022-01-15","3","7:53","2","5","(7:53) 83-T.Boyd left end to CIN 38 for 4 yards (42-C.Littleton). PENALTY on CIN-73-J.Williams, Illegal Block Above the Waist, 10 yards, enforced at CIN 37.","Box Score"
"","-1.00","LA","ARI","19","2022-01-17","4","9:27","2","9","(9:27) 9-M.Stafford pass short left to 23-C.Akers ran ob at LA 26 for 14 yards (34-J.Thompson). PENALTY on LA-63-A.Corbett, Offensive Holding, 6 yards, enforced at LA 12 - No Play.","Box Score"
"","-1.04","ARI","LA","19","2022-01-17","4","10:42","4","10","(10:42) (Shotgun) 1-K.Murray pass deep right to 13-C.Kirk ran ob at LA 11 for 16 yards. PENALTY on ARI-68-K.Beachum, Offensive Holding, 10 yards, enforced at LA 27 - No Play. Penalty on ARI-61-R.Hudson, Offensive Holding, declined.","Box Score"
"","-1.08","PHI","TB","19","2022-01-16","3","14:19","2","8","(14:19) (Shotgun) 1-J.Hurts scrambles up the middle to PHI 36 for 9 yards (54-L.David). PENALTY on PHI-62-J.Kelce, Offensive Holding, 10 yards, enforced at PHI 27 - No Play.","Box Score"
"","-1.11","LV","CIN","19","2022-01-15","3","0:32","2","9","(:32) (Shotgun) 28-J.Jacobs right guard to CIN 1 for 8 yards (55-L.Wilson; 24-V.Bell). PENALTY on LV-76-J.Simpson, Offensive Holding, 10 yards, enforced at CIN 9 - No Play.","Box Score"
"","-1.14","DAL","SF","19","2022-01-16","1","3:35","3","6","(3:35) (Shotgun) 4-D.Prescott pass deep middle to 88-C.Lamb to SF 45 for 32 yards (57-D.Greenlaw). PENALTY on DAL-52-C.Williams, Offensive Holding, 10 yards, enforced at DAL 23 - No Play.","Box Score"
"","-1.25","LA","ARI","19","2022-01-17","1","7:02","1","10","(7:02) 23-C.Akers left tackle to ARI 8 for 17 yards (58-J.Hicks; 34-J.Thompson). PENALTY on LA-73-D.Edwards, Offensive Holding, 10 yards, enforced at ARI 24.","Box Score"
"","-1.26","PHI","TB","19","2022-01-16","2","3:55","4","10","(3:55) (Shotgun) 1-J.Hurts pass incomplete short right to 18-J.Reagor (24-C.Davis). PENALTY on TB-24-C.Davis, Unsportsmanlike Conduct, 15 yards, enforced between downs.","Box Score"
"","-1.29","BUF","NE","19","2022-01-15","3","9:19","1","10","(9:19) (Shotgun) 17-J.Allen pass short left to 11-C.Beasley to NE 17 for 7 yards (54-D.Hightower). PENALTY on BUF-88-D.Knox, Offensive Pass Interference, 10 yards, enforced at NE 24 - No Play.","Box Score"
"","-1.33","ARI","LA","19","2022-01-17","1","2:39","3","16","(2:39) (Shotgun) 1-K.Murray pass short left to 13-C.Kirk to ARI 15 for -4 yards. 13-C.Kirk pass short right to 6-J.Conner to ARI 37 for 22 yards (32-T.Howard). PENALTY on ARI-13-C.Kirk, Illegal Forward Pass, 5 yards, enforced at ARI 19.","Box Score"
"","-1.36","LV","CIN","19","2022-01-15","3","3:04","2","5","(3:04) 28-J.Jacobs left tackle to CIN 33 for 5 yards (92-B.Hill). PENALTY on LV-68-A.James, Offensive Holding, 10 yards, enforced at CIN 38 - No Play.","Box Score"
"","-1.43","LA","ARI","19","2022-01-17","3","1:51","2","2","(1:51) 23-C.Akers left end to ARI 5 for 11 yards (3-B.Baker). ARI-3-B.Baker was injured during the play. He is Out.  PENALTY on LA-73-D.Edwards, Offensive Holding, 10 yards, enforced at ARI 15.","Box Score"
