"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","4.00","DEN","CHI","4","2023-10-01","3","14:16","3","1","(14:16) (Shotgun) PENALTY on DEN-77-Q.Meinerz, False Start, 5 yards, enforced at DEN 34 - No Play.","Box Score"
"","4.00","NYG","SEA","4","2023-10-02","4","13:32","1","10","(13:32) (No Huddle, Shotgun) 8-D.Jones scrambles up the middle to SEA 40 for 12 yards (54-B.Wagner). SEA-90-Ja.Reed was injured during the play.  PENALTY on NYG-68-B.Bredeson, Offensive Holding, 10 yards, enforced at NYG 48 - No Play.","Box Score"
"","4.00","NYG","SEA","4","2023-10-02","3","6:22","2","10","(6:22) (Shotgun) 31-M.Breida up the middle to NYG 44 for 1 yard (97-M.Edwards). PENALTY on SEA-97-M.Edwards, Face Mask, 15 yards, enforced at NYG 44.","Box Score"
"","4.00","SEA","NYG","4","2023-10-02","3","13:09","3","1","(13:09) 7-G.Smith pass deep left to 16-T.Lockett pushed ob at NYG 40 for 23 yards (22-A.Jackson). PENALTY on SEA-7-G.Smith, Unsportsmanlike Conduct, 15 yards, enforced between downs.","Box Score"
"","4.00","SEA","NYG","4","2023-10-02","1","4:02","1","20","(4:02) (Shotgun) PENALTY on SEA-63-E.Brown, False Start, 4 yards, enforced at SEA 22 - No Play.","Box Score"
"","4.00","SEA","NYG","4","2023-10-02","1","4:35","1","10","(4:35) (Shotgun) 9-K.Walker left end pushed ob at SEA 37 for 5 yards (22-A.Jackson). PENALTY on SEA-75-A.Bradford, Offensive Holding, 10 yards, enforced at SEA 32 - No Play.","Box Score"
"","4.00","PHI","WAS","4","2023-10-01","4","6:49","2","8","(6:49) (Shotgun) PENALTY on PHI-68-J.Mailata, False Start, 5 yards, enforced at WAS 49 - No Play.","Box Score"
"","4.00","WAS","PHI","4","2023-10-01","4","9:41","3","1","(9:41) (Shotgun) Direct snap to 82-L.Thomas.  82-L.Thomas up the middle to PHI 31 for -5 yards (55-B.Graham). PENALTY on WAS-2-D.Brown, Illegal Formation, 5 yards, enforced at PHI 26 - No Play.","Box Score"
"","4.00","PHI","WAS","4","2023-10-01","3","8:45","2","10","(8:45) (Shotgun) 1-J.Hurts pass incomplete deep right to 0-D.Swift. PENALTY on WAS-52-J.Davis, Defensive Holding, 5 yards, enforced at PHI 26 - No Play.","Box Score"
"","4.00","WAS","PHI","4","2023-10-01","3","10:59","2","10","(10:59) (Shotgun) 14-S.Howell pass incomplete short middle to 17-T.McLaurin. PENALTY on PHI-2-D.Slay, Defensive Pass Interference, 5 yards, enforced at WAS 25 - No Play.","Box Score"
"","4.00","WAS","PHI","4","2023-10-01","2","13:34","1","5","(13:34) (Shotgun) 14-S.Howell pass deep middle to 82-L.Thomas to PHI 3 for 27 yards (32-R.Blankenship; 26-T.Edmunds). PENALTY on PHI-26-T.Edmunds, Unnecessary Roughness, 2 yards, enforced at PHI 3.","Box Score"
"","4.00","WAS","PHI","4","2023-10-01","2","13:40","1","10","(13:40) (Shotgun) 14-S.Howell pass incomplete deep right to 2-D.Brown. PENALTY on PHI-3-N.Smith, Defensive Offside, 5 yards, enforced at PHI 35 - No Play.","Box Score"
"","4.00","PHI","WAS","4","2023-10-01","1","3:56","2","10","(3:56) (Shotgun) 1-J.Hurts pass short left to 0-D.Swift pushed ob at WAS 36 for 7 yards (57-C.Barton). PENALTY on WAS-25-B.St-Juste, Face Mask, 15 yards, enforced at WAS 36.","Box Score"
"","4.00","WAS","PHI","4","2023-10-01","1","8:58","3","12","(8:58) (Shotgun) 14-S.Howell right end pushed ob at PHI 9 for 6 yards (52-Z.Cunningham). PENALTY on PHI-52-Z.Cunningham, Defensive Holding, 5 yards, enforced at PHI 9.","Box Score"
"","4.00","WAS","PHI","4","2023-10-01","1","8:58","3","7","(8:58) (Shotgun) PENALTY on WAS-82-L.Thomas, False Start, 5 yards, enforced at PHI 10 - No Play.","Box Score"
"","4.00","NO","TB","4","2023-10-01","4","9:17","2","8","(9:17) (No Huddle, Shotgun) 4-D.Carr pass incomplete short right to 12-C.Olave. PENALTY on TB-29-C.Izien, Defensive Holding, 5 yards, enforced at TB 31 - No Play.","Box Score"
"","4.00","TB","NO","4","2023-10-01","3","8:12","4","1","(8:12) (Run formation) PENALTY on TB-6-B.Mayfield, Delay of Game, 4 yards, enforced at TB 32 - No Play.","Box Score"
"","4.00","TB","NO","4","2023-10-01","2","0:59","1","10","(:59) (Shotgun) 1-R.White left guard pushed ob at NO 11 for 18 yards (32-T.Mathieu). PENALTY on TB-10-T.Palmer, Offensive Holding, 10 yards, enforced at NO 19.","Box Score"
"","4.00","NO","TB","4","2023-10-01","1","1:23","2","12","(1:23) (Shotgun) PENALTY on TB-0-Y.Diaby, Neutral Zone Infraction, 5 yards, enforced at NO 30 - No Play.","Box Score"
"","4.00","TB","NO","4","2023-10-01","1","7:43","3","1","(7:43) PENALTY on TB-88-C.Otton, False Start, 5 yards, enforced at NO 48 - No Play.","Box Score"
"","4.00","HOU","PIT","4","2023-10-01","3","8:55","3","6","(8:55) (Shotgun) 7-C.Stroud pass incomplete short right. PENALTY on HOU-7-C.Stroud, Intentional Grounding, 14 yards, enforced at HOU 29.","Box Score"
"","4.00","PIT","HOU","4","2023-10-01","2","1:33","3","5","(1:33) (Shotgun) 8-K.Pickett pass deep right intended for 14-G.Pickens INTERCEPTED by 0-S.Griffin at PIT 38. 0-S.Griffin to PIT 38 for no gain. PENALTY on HOU-0-S.Griffin, Defensive Pass Interference, 15 yards, enforced at PIT 20 - No Play.","Box Score"
"","4.00","HOU","PIT","4","2023-10-01","1","9:25","2","10","(9:25) 7-C.Stroud pass incomplete short left to 9-B.Jordan. PENALTY on PIT-39-M.Fitzpatrick, Defensive Pass Interference, 8 yards, enforced at PIT 10 - No Play.","Box Score"
"","4.00","HOU","PIT","4","2023-10-01","1","10:13","1","5","(10:13) 7-C.Stroud pass short middle to 31-D.Pierce for 5 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on HOU-69-S.Mason, Ineligible Downfield Pass, 5 yards, enforced at PIT 5 - No Play.","Box Score"
"","4.00","DAL","NE","4","2023-10-01","4","4:03","1","10","(4:03) 42-D.Vaughn left tackle to DAL 45 for 3 yards (90-C.Barmore; 99-K.White). PENALTY on DAL-67-B.Hoffman, Offensive Holding, 10 yards, enforced at DAL 42 - No Play.","Box Score"
"","4.00","DAL","NE","4","2023-10-01","3","0:50","1","10","(:50) (Shotgun) 42-D.Vaughn left tackle to DAL 16 for 2 yards (5-J.Peppers). PENALTY on DAL-73-Tyl.Smith, Offensive Holding, 7 yards, enforced at DAL 15.","Box Score"
"","4.00","DAL","NE","4","2023-10-01","3","5:34","2","5","(5:34) 20-T.Pollard right tackle to NE 44 for 4 yards (90-C.Barmore, 2-J.Mills). PENALTY on NE-90-C.Barmore, Face Mask, 15 yards, enforced at NE 44.","Box Score"
"","4.00","NE","DAL","4","2023-10-01","2","3:58","2","10","(3:58) 38-R.Stevenson left guard to NE 37 for 12 yards (30-J.Thomas, 28-M.Hooker). PENALTY on NE-71-M.Onwenu, Offensive Holding, 10 yards, enforced at NE 29.","Box Score"
"","4.00","NE","DAL","4","2023-10-01","2","11:54","1","10","(11:54) PENALTY on NE-71-M.Onwenu, False Start, 5 yards, enforced at NE 10 - No Play.","Box Score"
"","4.00","CAR","MIN","4","2023-10-01","3","5:22","1","10","(5:22) (Shotgun) 9-B.Young pass short right to 5-L.Shenault to MIN 8 for 13 yards (24-C.Bynum). PENALTY on CAR-79-I.Ekwonu, Ineligible Downfield Pass, 5 yards, enforced at MIN 21 - No Play.","Box Score"
"","4.00","MIN","CAR","4","2023-10-01","2","1:51","1","10","(1:51) 8-K.Cousins pass short left to 87-T.Hockenson to MIN 45 for 15 yards (95-Der.Brown). PENALTY on MIN-65-A.Schlottmann, Ineligible Downfield Pass, 5 yards, enforced at MIN 30 - No Play.","Box Score"
"","4.00","CAR","MIN","4","2023-10-01","2","3:26","3","6","(3:26) (Shotgun) 9-B.Young pass short right to 88-T.Marshall to MIN 42 for 23 yards (98-D.Wonnum). PENALTY on CAR-56-B.Bozeman, Offensive Holding, 10 yards, enforced at CAR 35 - No Play.","Box Score"
"","4.00","CAR","MIN","4","2023-10-01","1","1:36","3","6","(1:36) (Shotgun) 9-B.Young pass incomplete short middle to 17-D.Chark (44-J.Metellus). PENALTY on MIN-7-B.Murphy, Defensive Holding, 3 yards, enforced at MIN 6 - No Play.","Box Score"
"","4.00","MIN","CAR","4","2023-10-01","1","15:00","1","10","(15:00) (Shotgun) 8-K.Cousins pass short left to 18-J.Jefferson pushed ob at MIN 30 for 5 yards (42-S.Franklin). PENALTY on MIN-72-E.Cleveland, Ineligible Downfield Pass, 5 yards, enforced at MIN 25 - No Play.","Box Score"
"","4.00","MIA","BUF","4","2023-10-01","4","5:41","4","23","(5:41) (Shotgun) 1-T.Tagovailoa pass incomplete short left to 26-S.Ahmed. PENALTY on BUF-90-S.Lawson, Defensive Offside, 5 yards, enforced at BUF 42 - No Play.","Box Score"
"","4.00","MIA","BUF","4","2023-10-01","4","6:54","3","17","(6:54) (Shotgun) 1-T.Tagovailoa scrambles left end to BUF 23 for 13 yards (43-T.Bernard). PENALTY on MIA-68-R.Hunt, Offensive Holding, 10 yards, enforced at BUF 36 - No Play.","Box Score"
"","4.00","MIA","BUF","4","2023-10-01","4","8:27","1","10","(8:27) (Shotgun) PENALTY on MIA, Delay of Game, 5 yards, enforced at BUF 29 - No Play.","Box Score"
"","4.00","MIA","BUF","4","2023-10-01","2","8:53","3","12","(8:53) (Shotgun) PENALTY on MIA-89-J.Hill, False Start, 5 yards, enforced at MIA 20 - No Play.","Box Score"
"","4.00","BUF","MIA","4","2023-10-01","2","10:35","2","6","(10:35) (Shotgun) 22-D.Harris up the middle to MIA 1 for 5 yards (8-J.Holland). PENALTY on BUF-76-D.Edwards, Illegal Formation, 5 yards, enforced at MIA 6 - No Play.","Box Score"
"","4.00","BUF","MIA","4","2023-10-01","2","12:08","1","10","(12:08) (No Huddle, Shotgun) 17-J.Allen pass incomplete deep left to 14-S.Diggs. PENALTY on MIA-4-K.Kohou, Defensive Pass Interference, 43 yards, enforced at BUF 37 - No Play.","Box Score"
"","4.00","MIA","BUF","4","2023-10-01","2","9:58","1","10","(9:58) 31-R.Mostert right end to MIA 24 for 2 yards (47-C.Benford). BUF-47-C.Benford was injured during the play. His return is Questionable.  PENALTY on MIA, Illegal Formation, 5 yards, enforced at MIA 22 - No Play. C.Benford walks off","Box Score"
"","4.00","MIA","BUF","4","2023-10-01","1","7:20","1","10","(7:20) (Shotgun) 1-T.Tagovailoa pass incomplete short left to 28-D.Achane. PENALTY on BUF-27-T.White, Defensive Offside, 5 yards, enforced at BUF 15 - No Play.","Box Score"
"","4.00","BUF","MIA","4","2023-10-01","1","11:10","2","8","(11:10) 17-J.Allen pass deep left to 14-S.Diggs ran ob at MIA 33 for 17 yards. PENALTY on MIA-4-K.Kohou, Unnecessary Roughness, 15 yards, enforced at MIA 33.","Box Score"
"","4.00","LV","LAC","4","2023-10-01","4","8:28","1","10","(8:28) (Shotgun) 4-A.O'Connell pass incomplete short right [94-C.Rumph]. PENALTY on LAC-36-J.Taylor, Illegal Contact, 5 yards, enforced at LV 40 - No Play.","Box Score"
"","4.00","LV","LAC","4","2023-10-01","4","12:33","2","10","(12:33) (Shotgun) 8-J.Jacobs up the middle to LAC 16 for 2 yards (95-N.Williams, 51-S.Joseph). PENALTY on LV-16-J.Meyers, Illegal Crackback, 15 yards, enforced at LAC 18 - No Play.","Box Score"
"","4.00","LAC","LV","4","2023-10-01","3","2:11","3","10","(2:11) (Shotgun) 10-J.Herbert pass deep right intended for 5-J.Palmer INTERCEPTED by 25-T.Moehrig at LV 23. 25-T.Moehrig pushed ob at LV 34 for 11 yards (79-T.Pipkins). LAC-10-J.Herbert was injured during the play.  PENALTY on LV-41-R.Spillane, Illegal Blindside Block, 15 yards, enforced at LV 39.","Box Score"
"","4.00","LAC","LV","4","2023-10-01","3","4:51","1","10","(4:51) (Shotgun) 12-D.Davis left end ran ob at LAC 34 for 9 yards (41-R.Spillane). PENALTY on LAC-84-S.Smartt, Offensive Holding, 10 yards, enforced at LAC 26.","Box Score"
"","4.00","LV","LAC","4","2023-10-01","2","0:51","2","2","(:51) (No Huddle, Shotgun) 4-A.O'Connell pass deep middle to 16-J.Meyers to LAC 18 for 50 yards (20-D.Marlowe). PENALTY on LV-16-J.Meyers, Offensive Pass Interference, 10 yards, enforced at LV 32 - No Play.","Box Score"
"","4.00","IND","LA","4","2023-10-01","4","13:49","2","20","(13:49) (Shotgun) 5-A.Richardson pass deep right to 14-A.Pierce to LA 34 for 38 yards (44-A.Witherspoon) [99-A.Donald]. PENALTY on LA-2-R.Yeast, Unnecessary Roughness, 15 yards, enforced at LA 34. Penalty on LA-44-A.Witherspoon, Defensive Pass Interference, declined.","Box Score"
"","4.00","LA","IND","4","2023-10-01","3","0:01","3","15","(:01) (Shotgun) PENALTY on IND-99-D.Buckner, Neutral Zone Infraction, 5 yards, enforced at IND 40 - No Play.","Box Score"
"","4.00","LA","IND","4","2023-10-01","3","1:19","2","11","(1:19) (No Huddle, Shotgun) 9-M.Stafford pass short middle to 17-P.Nacua to IND 14 for 22 yards (32-J.Blackmon). PENALTY on LA-17-P.Nacua, Offensive Pass Interference, 10 yards, enforced at IND 36 - No Play.","Box Score"
"","4.00","IND","LA","4","2023-10-01","3","4:39","3","7","(4:39) (Shotgun) 5-A.Richardson sacked at LA 47 for -8 yards (99-A.Donald). FUMBLES (99-A.Donald) [99-A.Donald], RECOVERED by LA-56-C.Rozeboom at LA 44. PENALTY on LA-6-T.Tomlinson, Defensive Holding, 5 yards, enforced at LA 39 - No Play.","Box Score"
"","4.00","LA","IND","4","2023-10-01","3","10:32","1","10","(10:32) (Shotgun) 9-M.Stafford pass short left to 17-P.Nacua to IND 47 for 9 yards (33-D.Flowers) [52-S.Ebukam]. PENALTY on LA-70-J.Noteboom, Offensive Holding, 10 yards, enforced at LA 44 - No Play.","Box Score"
"","4.00","IND","LA","4","2023-10-01","3","14:53","2","10","(14:53) (Shotgun) 5-A.Richardson scrambles up the middle to IND 29 for 4 yards (97-M.Hoecht). PENALTY on IND-56-Q.Nelson, Offensive Holding, 10 yards, enforced at IND 25 - No Play.","Box Score"
"","4.00","IND","LA","4","2023-10-01","2","1:50","4","5","(1:50) (Shotgun) PENALTY on IND-11-M.Pittman, False Start, 5 yards, enforced at LA 24 - No Play.","Box Score"
"","4.00","LA","IND","4","2023-10-01","1","0:31","1","10","(:31) 20-R.Rivers left end to IND 7 for 8 yards (25-R.Thomas). PENALTY on LA-65-C.Shelton, Illegal Block Above the Waist, 10 yards, enforced at IND 15 - No Play.","Box Score"
"","4.00","LA","IND","4","2023-10-01","1","7:03","2","6","(7:03) (Shotgun) 9-M.Stafford pass deep right to 17-P.Nacua to LA 46 for 26 yards (23-K.Moore). PENALTY on IND-23-K.Moore, Unnecessary Roughness, 15 yards, enforced at LA 46.","Box Score"
