Week,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
1.0,2,4,1,2,2,2,0,2,2,3,1,1,5,2,1,2,3,1,3,3,0,4,4,4,0,1,0,0,2,1,1,4
2.0,1,3,4,0,2,1,2,3,3,4,2,1,1,1,0,5,3,1,1,4,1,1,3,2,2,2,0,2,1,3,1,3
3.0,5,1,0,2,1,0,1,1,5,1,5,3,1,1,0,0,2,6,2,2,2,2,5,2,1,1,1,3,2,1,5,0
4.0,4,1,3,0,2,2,2,4,2,2,3,0,2,3,2,2,4,2,1,2,2,1,3,2,1,3,2,3,2,2,2,2
5.0,1,2,2,5,1,1,1,0,0,2,1,1,0,3,1,2,1,0,0,1,2,0,3,3,2,0,1,0,1,0,4,0
6.0,2,1,4,4,1,1,1,4,4,1,2,0,1,3,0,3,1,3,4,1,2,3,5,2,1,2,0,1,2,1,0,2
7.0,3,5,3,3,0,5,0,1,0,3,2,4,0,2,0,4,2,1,1,3,2,0,3,3,0,0,2,0,1,4,0,1
8.0,3,1,2,2,2,1,0,1,1,4,2,2,2,2,2,2,2,1,1,2,1,3,2,3,0,1,2,1,3,3,1,1
9.0,2,2,0,0,1,5,2,1,4,0,0,1,5,0,0,4,2,1,2,3,0,1,0,0,1,2,1,1,0,3,3,0
10.0,5,4,2,2,2,2,2,4,5,2,3,2,2,1,1,0,0,1,2,0,2,1,1,1,4,0,3,3,3,2,1,2
11.0,2,0,5,2,3,2,3,0,2,2,3,1,0,0,1,2,4,2,3,1,3,0,0,0,1,2,2,4,2,1,2,0
12.0,2,1,1,3,3,3,3,2,2,2,2,2,5,2,2,2,3,0,0,0,1,0,5,2,0,0,2,0,1,2,3,1
13.0,3,2,0,0,3,0,0,1,4,0,0,2,1,1,2,3,1,1,0,1,0,0,2,0,2,1,2,5,1,2,2,1
14.0,0,1,2,4,0,2,1,2,3,2,2,1,2,3,0,2,0,0,2,2,0,5,0,1,3,4,0,1,1,1,2,0
15.0,1,2,2,0,1,0,1,4,1,1,2,2,3,1,0,1,1,2,0,3,0,2,2,2,3,2,5,0,0,2,3,2
16.0,1,2,2,3,2,3,1,5,1,1,1,0,3,0,0,2,2,1,2,1,0,2,2,0,4,1,2,1,5,1,1,2
17.0,0,0,2,1,0,2,1,1,0,3,1,2,0,3,0,2,1,3,1,1,1,0,0,5,2,2,0,1,1,1,0,1
18.0,1,3,0,2,0,1,1,0,2,2,1,0,1,0,3,3,1,0,0,2,2,1,0,1,0,0,0,0,3,1,2,0
All Weeks,38,35,35,35,26,33,22,36,41,35,33,25,34,28,15,41,33,26,25,32,21,26,40,33,27,24,25,26,31,31,33,22
