Week,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
1,3,6,3,7,2,2,3,3,4,2,2,2,3,1,6,3,2,2,4,2,6,4,3,1,3,7,2,3,3,6,3,3
2,1,2,7,2,1,2,1,2,3,3,5,3,4,1,3,2,0,8,2,4,1,5,2,4,5,3,2,5,4,4,3,5
3,3,4,5,3,3,3,5,6,2,2,2,4,4,2,1,5,1,6,4,5,2,2,1,6,4,7,6,2,3,3,2,3
4,4,5,2,3,2,4,4,3,4,1,3,3,6,4,1,6,2,3,1,2,5,5,2,3,3,5,2,3,5,5,3,4
5,3,3,3,6,4,5,1,6,3,3,2,0,3,3,3,4,3,5,7,2,3,3,3,2,4,2,3,1,6,2,4,3
6,2,0,1,3,2,4,2,8,6,5,3,2,1,0,1,2,3,3,3,3,7,2,0,0,0,3,4,3,0,5,5,4
7,2,0,3,0,4,4,0,4,0,1,3,3,4,3,0,5,0,0,5,3,0,5,3,3,3,0,0,3,4,1,3,2
8,5,2,0,5,3,2,1,2,6,1,3,4,3,5,6,9,1,4,0,6,4,2,0,2,5,1,4,3,3,6,7,1
9,4,5,6,5,4,3,3,5,3,3,0,2,6,2,0,3,7,2,1,1,5,1,6,2,3,1,3,0,3,0,1,0
10,3,3,1,5,7,0,0,3,4,2,2,3,0,4,3,3,3,3,4,7,8,4,4,0,5,4,4,4,3,2,3,1
11,1,4,4,4,2,2,0,4,2,0,5,5,2,1,4,4,0,7,3,4,2,5,2,2,5,1,5,2,2,4,4,4
12,0,0,4,3,3,4,2,1,9,4,4,2,3,5,3,0,1,8,9,2,3,2,2,1,4,3,2,3,4,2,2,2
13,3,2,3,1,0,3,5,0,4,4,1,0,1,1,2,3,6,3,4,0,4,2,4,2,4,2,3,3,5,3,0,4
14,4,3,9,4,0,2,1,3,2,2,2,3,4,0,6,5,3,2,8,0,6,0,2,2,2,0,3,4,2,2,2,5
15,3,1,3,3,2,3,2,2,2,5,2,3,5,1,4,2,2,2,5,3,4,2,3,1,3,3,1,5,1,0,4,1
16,3,1,4,4,2,6,3,2,1,1,0,2,7,3,0,1,0,4,2,4,1,2,2,3,2,6,3,5,3,3,2,1
17,5,2,1,3,0,3,3,4,6,2,3,1,3,2,2,7,1,2,2,3,2,1,3,2,1,3,4,4,4,2,2,0
18,4,2,0,3,1,0,2,3,1,2,1,0,2,3,3,2,1,7,4,2,2,5,1,1,3,3,2,2,4,1,4,1
All Weeks,53,45,59,64,42,52,38,61,62,43,43,42,61,41,48,66,36,71,68,53,65,52,43,37,59,54,53,55,59,51,54,44
