Week,ARI,ATL,BAL,BUF,CAR,CHI,CIN,CLE,DAL,DEN,DET,GB,HOU,IND,JAX,KC,LA,LAC,LV,MIA,MIN,NE,NO,NYG,NYJ,PHI,PIT,SEA,SF,TB,TEN,WAS
1,1,3,3,2,4,0,1,2,2,3,2,0,1,2,2,0,0,2,0,0,1,0,3,5,4,3,5,4,3,0,2,2
2,3,2,0,1,2,1,1,1,1,2,0,2,5,2,1,2,2,0,5,3,1,3,3,3,2,2,0,3,1,2,2,0
3,3,1,0,2,2,2,2,2,3,2,3,3,2,3,1,2,2,3,1,0,2,1,2,2,1,2,0,4,3,2,3,2
4,3,0,3,2,2,2,2,2,1,3,3,1,5,4,1,2,0,2,0,1,1,1,4,1,1,2,3,5,1,3,2,5
5,1,2,4,2,2,2,2,1,2,1,4,3,2,4,2,2,2,0,3,2,5,2,2,2,3,3,2,3,2,2,2,3
6,2,1,2,4,0,2,1,3,1,5,0,2,0,6,2,2,2,6,0,5,0,2,1,2,2,0,4,2,2,1,0,2
7,1,0,2,0,0,1,1,3,1,1,5,4,0,1,3,3,0,4,2,1,0,2,3,4,6,0,2,3,4,0,0,3
8,3,0,5,1,2,3,0,2,1,3,1,2,2,2,2,0,0,0,3,1,4,2,2,0,1,4,2,0,2,1,1,1
9,1,1,2,1,0,3,0,0,0,0,4,4,2,0,2,5,3,2,2,1,0,1,1,0,0,1,0,1,0,4,2,2
10,2,3,0,3,4,5,0,4,3,2,2,2,2,0,3,0,1,0,2,1,3,0,5,0,0,2,1,1,2,1,3,2
11,0,1,3,5,1,3,2,2,3,1,2,2,1,4,0,1,3,1,3,0,1,3,1,2,0,5,2,0,1,0,0,2
12,1,0,2,2,3,1,5,3,5,0,1,2,2,0,1,2,1,1,2,1,1,1,1,2,0,1,2,0,4,1,1,2
13,0,2,1,3,0,3,3,1,2,1,1,0,1,1,2,2,0,2,1,3,1,4,3,2,3,2,1,1,1,4,3,4
14,2,0,1,2,0,0,2,5,1,2,4,0,1,0,4,2,4,1,4,2,0,3,0,2,4,1,2,0,1,4,2,0
15,1,1,0,2,0,1,1,2,0,2,4,1,0,2,1,5,3,1,3,3,2,1,2,2,1,1,1,2,2,3,3,2
16,4,3,1,4,4,1,4,2,2,3,1,2,1,1,0,3,2,2,0,3,2,1,1,4,2,0,2,2,2,1,1,1
17,2,3,2,0,5,2,0,2,1,3,5,1,4,3,1,3,0,2,3,4,1,1,1,2,0,1,2,0,5,5,5,0
18,2,1,2,1,0,0,2,4,4,1,3,1,1,0,1,2,0,0,0,1,1,2,1,1,1,0,1,0,0,1,2,0
All Weeks,32,24,33,37,31,32,29,41,33,35,45,32,32,35,29,38,25,29,34,32,26,30,36,36,31,30,32,31,36,35,34,33
