"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Yard Line (Distance from Off. EZ)","Box Scores"
"","1.58","PIT","BUF","19","2024-01-15","2","11:43","2","9","(11:43) (Shotgun) 2-M.Rudolph pass incomplete short left to 18-D.Johnson. PENALTY on BUF-24-K.Elam, Defensive Pass Interference, 9 yards, enforced at BUF 12 - No Play.","12.00","Box Score"
"","0.74","LA","DET","19","2024-01-14","1","5:14","1","10","(5:14) 23-K.Williams up the middle to DET 12 for 4 yards (32-B.Branch; 79-J.Cominsky). PENALTY on DET-31-K.Joseph, Unnecessary Roughness, 6 yards, enforced at DET 12.","16.00","Box Score"
"","0.73","DET","LA","19","2024-01-14","2","9:41","1","10","(9:41) PENALTY on LA-99-A.Donald, Neutral Zone Infraction, 6 yards, enforced at LA 11 - No Play.","11.00","Box Score"
"","0.65","GB","DAL","19","2024-01-14","1","7:30","3","5","(7:30) (Shotgun) PENALTY on DAL-90-D.Lawrence, Neutral Zone Infraction, 3 yards, enforced at DAL 6 - No Play.","6.00","Box Score"
"","0.51","DAL","GB","19","2024-01-14","3","3:50","2","10","(3:50) (Shotgun) 4-D.Prescott pass incomplete short left to 23-R.Dowdle. PENALTY on GB-91-P.Smith, Defensive Offside, 5 yards, enforced at GB 13 - No Play.","13.00","Box Score"
"","0.24","PHI","TB","19","2024-01-15","4","12:06","4","10","(12:06) 4-J.Elliott 40 yard field goal is GOOD, NULLIFIED by Penalty, Center-45-R.Lovato, Holder-10-B.Mann. PENALTY on TB-27-Z.McCollum, Defensive Offside, 5 yards, enforced at TB 22 - No Play.","22.00","Box Score"
"","0.14","DAL","GB","19","2024-01-14","3","3:12","1","2","(3:12) 4-D.Prescott pass incomplete short right to 88-C.Lamb (25-K.Nixon). PENALTY on GB-55-K.Enagbare, Defensive Holding, 1 yard, enforced at GB 2 - No Play. Penalty on GB-37-C.Valentine, Defensive Holding, declined.","2.00","Box Score"
"","-0.63","PHI","TB","19","2024-01-15","4","13:46","2","12","(13:46) (Shotgun) 1-J.Hurts pass short right to 88-D.Goedert to TB 18 for 6 yards (52-K.Britt). PENALTY on PHI-51-C.Jurgens, Ineligible Downfield Pass, 5 yards, enforced at TB 24 - No Play.","24.00","Box Score"
"","-1.11","KC","MIA","19","2024-01-13","2","8:24","2","8","(8:24) (Shotgun) 15-P.Mahomes pass short right to 4-R.Rice for 8 yards, TOUCHDOWN NULLIFIED by Penalty. PENALTY on KC-74-J.Taylor, Illegal Block Above the Waist, 10 yards, enforced at MIA 8 - No Play.","8.00","Box Score"
"","-1.26","GB","DAL","19","2024-01-14","1","0:06","1","6","(:06) 33-A.Jones right end to DAL 1 for 5 yards (2-J.Lewis; 33-D.Clark). PENALTY on GB-85-T.Kraft, Offensive Holding, 10 yards, enforced at DAL 6 - No Play.","6.00","Box Score"
"","-1.77","KC","MIA","19","2024-01-13","4","13:23","2","10","(13:23) (Shotgun) 15-P.Mahomes pass incomplete short right [51-D.Long]. PENALTY on KC-15-P.Mahomes, Intentional Grounding, 10 yards, enforced at MIA 17.","17.00","Box Score"
