"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","5.79","NE","PIT","2","2022-09-18","3","4:06","4","9","(4:06) 7-J.Bailey punts 37 yards to PIT 20, Center-49-J.Cardona. 89-G.Olszewski MUFFS catch, RECOVERED by NE-41-B.Schooler at PIT 20. PENALTY on PIT-83-Co.Heyward, Unnecessary Roughness, 10 yards, enforced at PIT 20.","Box Score"
"","4.30","MIN","NO","4","2022-10-02","4","4:27","3","8","(4:27) (Shotgun) 8-K.Cousins pass incomplete deep left to 19-A.Thielen. PENALTY on NO-23-M.Lattimore, Defensive Pass Interference, 41 yards, enforced at NO 44 - No Play. Penalty on NO-29-P.Adebo, Defensive Holding, declined.","Box Score"
"","4.28","KC","LAC","2","2022-09-15","4","3:55","1","10","(3:55) 25-C.Edwards-Helaire right end to LAC 33 for 52 yards (24-N.Adderley). PENALTY on LAC-3-D.James, Face Mask, 15 yards, enforced at LAC 33.","Box Score"
"","3.79","CIN","NYJ","3","2022-09-25","2","10:13","1","10","(10:13) 9-J.Burrow pass deep right to 85-T.Higgins to NYJ 30 for 45 yards (1-A.Gardner; 29-L.Joyner). CIN-85-T.Higgins was injured during the play.  PENALTY on NYJ-29-L.Joyner, Unnecessary Roughness, 15 yards, enforced at NYJ 30.","Box Score"
"","3.78","ATL","CLE","4","2022-10-02","4","3:03","2","10","(3:03) (No Huddle, Shotgun) 1-M.Mariota pass deep right to 17-O.Zaccheaus to CLE 49 for 42 yards (21-D.Ward). PENALTY on CLE-21-D.Ward, Face Mask, 15 yards, enforced at CLE 49.","Box Score"
"","3.78","CLE","CAR","1","2022-09-11","2","11:02","3","3","(11:02) (Shotgun) 7-J.Brissett pass deep left intended for 2-A.Cooper INTERCEPTED by 25-X.Woods [53-B.Burns] at CAR 0. 25-X.Woods to CAR 31 for 31 yards (88-H.Bryant). PENALTY on CAR-24-C.Henderson, Defensive Pass Interference, 34 yards, enforced at CAR 35 - No Play.","Box Score"
"","3.59","DEN","HOU","2","2022-09-18","1","5:53","2","10","(5:53) 3-R.Wilson pass incomplete deep left to 14-C.Sutton. PENALTY on HOU-24-D.Stingley, Defensive Pass Interference, 42 yards, enforced at HOU 44 - No Play. Penalty on HOU-93-K.Hinish, Defensive Offside, declined.","Box Score"
"","3.35","WAS","PHI","3","2022-09-25","3","0:54","4","12","(:54) 6-J.Slye 47 yard field goal is GOOD, NULLIFIED by Penalty, Center-54-C.Cheeseman, Holder-5-T.Way. PENALTY on PHI-90-J.Davis, Unnecessary Roughness, 15 yards, enforced at PHI 29 - No Play.","Box Score"
"","3.30","CLE","CAR","1","2022-09-11","2","1:17","3","13","(1:17) (Shotgun) 7-J.Brissett pass short left to 27-K.Hunt to CAR 39 for 24 yards (95-D.Brown). PENALTY on CAR-25-X.Woods, Low Block, 15 yards, enforced at CAR 39.","Box Score"
"","3.28","CIN","DAL","2","2022-09-18","3","13:42","4","4","(13:42) (Punt formation) PENALTY on DAL-50-D.Harper, Neutral Zone Infraction, 5 yards, enforced at CIN 41 - No Play.","Box Score"
