"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","0.77","DEN","KC","17","2023-01-01","2","11:48","2","6","(11:48) 3-R.Wilson pass incomplete deep right. PENALTY on KC-35-Ja.Watson, Defensive Holding, 5 yards, enforced at KC 39 - No Play.","Box Score"
"","0.76","LV","KC","18","2023-01-07","3","10:06","2","7","(10:06) 3-J.Stidham pass short left to 28-J.Jacobs to KC 31 for 4 yards (32-N.Bolton). PENALTY on KC-51-M.Danna, Defensive Offside, 5 yards, enforced at KC 35 - No Play.","Box Score"
"","0.76","NE","LV","15","2022-12-18","3","15:00","1","10","(15:00) 38-R.Stevenson up the middle to NE 31 for 6 yards (21-A.Robertson). PENALTY on LV-91-B.Nichols, Illegal Use of Hands, 5 yards, enforced at NE 31.","Box Score"
"","0.75","ARI","DEN","15","2022-12-18","3","10:14","2","12","(10:14) (Shotgun) 19-T.McSorley pass incomplete short right to 2-M.Brown. PENALTY on DEN-56-B.Browning, Defensive Offside, 5 yards, enforced at DEN 40 - No Play.","Box Score"
"","0.75","DET","CAR","16","2022-12-24","4","3:54","1","5","(3:54) (No Huddle, Shotgun) 16-J.Goff pass incomplete short middle to 8-J.Reynolds. PENALTY on CAR-38-M.Hartsfield, Defensive Pass Interference, 4 yards, enforced at CAR 5 - No Play.","Box Score"
"","0.74","CAR","TB","17","2023-01-01","3","1:01","1","20","(1:01) (Shotgun) 14-S.Darnold pass incomplete short middle to 2-D.Moore. PENALTY on TB-31-A.Winfield, Defensive Holding, 5 yards, enforced at TB 41 - No Play.","Box Score"
"","0.73","NE","MIA","17","2023-01-01","1","8:44","3","2","(8:44) (Shotgun) 10-M.Jones pass incomplete deep left to 16-J.Meyers. PENALTY on MIA-28-K.Kohou, Defensive Holding, 5 yards, enforced at MIA 16 - No Play.","Box Score"
"","0.73","MIN","IND","15","2022-12-17","1","3:46","1","10","(3:46) 4-D.Cook left end to MIN 25 for 3 yards (59-I.Odenigbo). PENALTY on IND-59-I.Odenigbo, Defensive Offside, 5 yards, enforced at MIN 22 - No Play.","Box Score"
"","0.72","PIT","CAR","15","2022-12-18","2","10:28","3","9","(10:28) (Shotgun) PENALTY on CAR-99-M.Ioannidis, Neutral Zone Infraction, 5 yards, enforced at PIT 39 - No Play.","Box Score"
"","0.71","HOU","TEN","16","2022-12-24","2","15:00","1","10","(15:00) (Shotgun) 10-D.Mills pass incomplete deep left to 13-B.Cooks. PENALTY on TEN-28-J.Kalu, Defensive Offside, 5 yards, enforced at HOU 41 - No Play.","Box Score"
"","0.71","LV","SF","17","2023-01-01","1","3:17","1","10","(3:17) (Shotgun) 3-J.Stidham pass incomplete short left to 17-D.Adams. PENALTY on SF-7-C.Ward, Defensive Pass Interference, 10 yards, enforced at SF 15 - No Play.","Box Score"
"","0.70","CLE","WAS","17","2023-01-01","4","8:25","3","9","(8:25) (Shotgun) PENALTY on WAS, Defensive Too Many Men on Field, 5 yards, enforced at CLE 47 - No Play.","Box Score"
"","0.69","KC","SEA","16","2022-12-24","1","10:11","2","5","(10:11) (Shotgun) PENALTY on SEA-51-B.Irvin, Neutral Zone Infraction, 5 yards, enforced at SEA 46 - No Play.","Box Score"
"","0.69","PIT","CAR","15","2022-12-18","3","7:13","3","6","(7:13) (Shotgun) 10-M.Trubisky pass short left to 18-D.Johnson to CAR 7 for 8 yards (25-X.Woods) [95-D.Brown]. PENALTY on PIT-18-D.Johnson, Taunting, 15 yards, enforced between downs.","Box Score"
"","0.69","MIA","NE","17","2023-01-01","1","5:39","4","6","(5:39) 4-T.Morstead punts 40 yards to NE 31, Center-44-B.Ferguson, out of bounds. PENALTY on NE-41-B.Schooler, Running Into the Kicker, 5 yards, enforced at MIA 29 - No Play.","Box Score"
"","0.67","ATL","ARI","17","2023-01-01","4","12:50","1","10","(12:50) PENALTY on ARI-44-M.Golden, Neutral Zone Infraction, 5 yards, enforced at ARI 43 - No Play.","Box Score"
"","0.67","LA","DEN","16","2022-12-25","2","2:01","1","10","(2:01) PENALTY on DEN-56-B.Browning, Encroachment, 5 yards, enforced at DEN 23 - No Play.","Box Score"
"","0.66","SF","LV","17","2023-01-01","2","14:09","1","10","(14:09) 13-B.Purdy pass incomplete short middle to 11-B.Aiyuk. PENALTY on LV-39-N.Hobbs, Defensive Pass Interference, 12 yards, enforced at LV 47 - No Play.","Box Score"
"","0.66","NYG","IND","17","2023-01-01","2","9:06","2","10","(9:06) (Shotgun) 8-D.Jones pass short left to 80-R.James to NYG 45 for 9 yards (33-D.Flowers; 44-Z.Franklin). PENALTY on IND-33-D.Flowers, Illegal Use of Hands, 5 yards, enforced at NYG 36 - No Play.","Box Score"
"","0.65","DEN","ARI","15","2022-12-18","3","3:22","3","14","(3:22) (Shotgun) PENALTY on ARI-99-J.Watt, Neutral Zone Infraction, 5 yards, enforced at DEN 30 - No Play.","Box Score"
"","0.65","HOU","TEN","16","2022-12-24","4","13:44","1","10","(13:44) 10-D.Mills FUMBLES (Aborted) at HOU 42, and recovers at HOU 42. PENALTY on TEN-98-J.Simmons, Defensive Offside, 5 yards, enforced at HOU 42 - No Play.","Box Score"
"","0.65","DAL","TEN","17","2022-12-29","1","9:36","2","10","(9:36) (Shotgun) 4-D.Prescott pass short left to 86-D.Schultz to DAL 49 for 9 yards (30-T.Avery, 50-J.Gibbens). PENALTY on TEN-93-T.Tart, Defensive Offside, 5 yards, enforced at DAL 40 - No Play.","Box Score"
"","0.64","TEN","HOU","16","2022-12-24","2","6:45","1","10","(6:45) (Shotgun) 22-D.Henry up the middle to TEN 30 for 3 yards (52-J.Greenard, 29-M.Stewart). PENALTY on HOU-93-K.Hinish, Defensive Offside, 5 yards, enforced at TEN 27 - No Play.","Box Score"
"","0.63","SF","SEA","15","2022-12-15","2","4:41","2","10","(4:41) (Shotgun) 13-B.Purdy scrambles left end ran ob at SF 32 for 7 yards (57-C.Barton). PENALTY on SEA-27-T.Woolen, Defensive Offside, 5 yards, enforced at SF 25 - No Play.","Box Score"
"","0.63","CAR","PIT","15","2022-12-18","4","10:21","1","10","(10:21) 14-S.Darnold sacked at CAR 18 for -9 yards (34-T.Edmunds). FUMBLES (34-T.Edmunds) [34-T.Edmunds], touched at CAR 17, recovered by CAR-72-T.Moton at CAR 19. PENALTY on PIT-90-T.Watt, Defensive Offside, 5 yards, enforced at CAR 27 - No Play.","Box Score"
"","0.61","MIA","NE","17","2023-01-01","3","1:26","3","10","(1:26) (Shotgun) PENALTY on NE-55-J.Uche, Neutral Zone Infraction, 5 yards, enforced at MIA 25 - No Play.","Box Score"
"","0.61","CHI","BUF","16","2022-12-24","2","3:56","3","10","(3:56) (Shotgun) 1-J.Fields pass short left to 18-D.Pettis to BUF 29 for -4 yards (7-T.Johnson). PENALTY on BUF-59-K.Jonathan, Defensive Offside, 6 yards, enforced at BUF 25 - No Play.","Box Score"
"","0.61","NYG","PHI","18","2023-01-08","4","3:06","2","10","(3:06) (Shotgun) PENALTY on PHI-7-H.Reddick, Neutral Zone Infraction, 5 yards, enforced at NYG 46 - No Play.","Box Score"
"","0.61","CLE","NO","16","2022-12-24","2","11:09","3","16","(11:09) (Shotgun) 4-D.Watson pass short right to 27-K.Hunt to CLE 37 for 15 yards (27-A.Taylor). PENALTY on CLE-2-A.Cooper, Illegal Block Above the Waist, 10 yards, enforced at CLE 37.","Box Score"
"","0.61","DEN","LAC","18","2023-01-08","2","9:26","3","9","(9:26) (Shotgun) 3-R.Wilson pass short right to 10-J.Jeudy to DEN 26 for no gain (32-A.Gilman). PENALTY on LAC-52-K.Mack, Defensive Offside, 5 yards, enforced at DEN 26 - No Play.","Box Score"
"","0.60","IND","NYG","17","2023-01-01","2","2:50","1","10","(2:50) 29-J.Wilkins right end to IND 42 for 4 yards (97-D.Lawrence). PENALTY on NYG-97-D.Lawrence, Defensive Holding, 5 yards, enforced at IND 42.","Box Score"
"","0.59","SF","SEA","15","2022-12-15","1","0:01","4","7","(:01) (No Huddle, Shotgun) PENALTY on SEA-52-D.Taylor, Neutral Zone Infraction, 5 yards, enforced at SEA 47 - No Play.","Box Score"
