"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","1.20","LAC","KC","3","2021-09-26","1","12:57","4","5","(12:57) 1-T.Long punts 55 yards to KC 15, Center-54-M.Overton. 17-M.Hardman pushed ob at KC 32 for 17 yards (54-M.Overton). PENALTY on KC-38-L.Sneed, Face Mask (15 Yards), 7 yards, enforced at KC 15.","Box Score"
"","1.16","GB","CHI","6","2021-10-17","1","4:43","4","10","(4:43) 7-C.Bojorquez punts 50 yards to CHI 25, Center-43-H.Bradley. 17-J.Grant pushed ob at GB 48 for 27 yards (13-A.Lazard). PENALTY on CHI-23-M.Christian, Illegal Block Above the Waist, 10 yards, enforced at CHI 25. Penalty on CHI-36-D.Houston-Carson, Offensive Holding, declined.","Box Score"
"","1.10","DEN","PHI","10","2021-11-14","2","2:00","4","25","(2:00) 6-S.Martin punts 60 yards to PHI 30, Center-46-J.Bobenmoyer. 18-J.Reagor to PHI 40 for 10 yards (50-J.Griffith; 94-A.Patrick). PENALTY on PHI-27-Z.McPhearson, Unnecessary Roughness, 15 yards, enforced at PHI 30.","Box Score"
"","1.09","HOU","BUF","4","2021-10-03","2","5:42","4","15","(5:42) 11-C.Johnston punts 61 yards to BUF 21, Center-46-J.Weeks. 19-I.McKenzie to BUF 33 for 12 yards (24-T.Smith). Return credited to BUF 31 (spot of foul). PENALTY on BUF-33-S.Neal, Illegal Block Above the Waist, 10 yards, enforced at BUF 31.","Box Score"
"","1.05","DAL","PHI","3","2021-09-27","2","4:11","4","10","(4:11) 5-B.Anger punts 56 yards to PHI 38, Center-44-J.McQuaide. 18-J.Reagor to PHI 34 for -4 yards (44-J.McQuaide; 54-A.Kamara). PENALTY on PHI-84-G.Ward, Offensive Holding, 10 yards, enforced at PHI 34.","Box Score"
"","1.02","IND","BAL","5","2021-10-11","2","4:36","4","5","(4:36) 8-R.Sanchez punts 52 yards to BAL 25, Center-46-L.Rhodes. 13-D.Duvernay to BAL 32 for 7 yards (16-A.Dulin; 37-K.Willis). PENALTY on BAL-57-K.Welch, Offensive Holding, 10 yards, enforced at BAL 25.","Box Score"
"","1.01","SEA","CHI","16","2021-12-26","1","13:49","4","14","(13:49) 4-M.Dickson punts 41 yards to CHI 38, Center-69-T.Ott. 83-D.Newsome pushed ob at CHI 42 for 4 yards (25-T.Homer). PENALTY on CHI-30-D.Virgin, Offensive Holding, 10 yards, enforced at CHI 38.","Box Score"
"","0.97","CLE","NE","10","2021-11-14","2","12:05","4","4","(12:05) 7-J.Gillan punts 58 yards to NE 2, Center-47-C.Hughlett, out of bounds. PENALTY on NE-33-J.Williams, Offensive Holding, 1 yard, enforced at NE 2.","Box Score"
"","0.94","BUF","TEN","6","2021-10-18","1","3:08","4","18","(3:08) 3-M.Haack punts 53 yards to TEN 34, Center-69-R.Ferguson. 80-C.Rogers to TEN 36 for 2 yards. Pass back to 35-C.Jackson to BUF 42 for 22 yards (54-A.Klein). PENALTY on TEN-80-C.Rogers, Illegal Forward Pass, 5 yards, enforced at TEN 34.","Box Score"
"","0.92","ATL","NE","11","2021-11-18","1","10:05","4","9","(10:05) 12-D.Colquitt punts 51 yards to NE 44, Center-47-J.Harris. 80-G.Olszewski to ATL 46 for 10 yards (92-A.Ogundeji; 17-O.Zaccheaus). PENALTY on NE-22-Co.Davis, Offensive Holding, 10 yards, enforced at NE 44.","Box Score"
"","0.90","CLE","MIN","4","2021-10-03","4","11:17","4","8","(11:17) 7-J.Gillan punts 54 yards to MIN 28, Center-47-C.Hughlett. 12-D.Westbrook pushed ob at MIN 30 for 2 yards (38-A.Green). PENALTY on MIN-20-H.Hand, Offensive Holding, 10 yards, enforced at MIN 28.","Box Score"
"","0.89","NYJ","BUF","18","2022-01-09","2","7:17","4","9","(7:17) 7-B.Mann punts 52 yards to BUF 28, Center-42-T.Hennessy. 19-I.McKenzie to BUF 33 for 5 yards (34-J.Hardee, 43-D.Phillips). PENALTY on BUF-33-S.Neal, Offensive Holding, 10 yards, enforced at BUF 28.","Box Score"
"","0.88","NE","CAR","9","2021-11-07","4","6:20","4","15","(6:20) (Punt formation) PENALTY on CAR-57-C.Johnston, Neutral Zone Infraction, 5 yards, enforced at CAR 41 - No Play.","Box Score"
"","0.88","CHI","ARI","13","2021-12-05","2","3:36","4","17","(3:36) 16-P.O'Donnell punts 53 yards to ARI 29, Center-48-P.Scales. 4-R.Moore to ARI 47 for 18 yards (45-J.Iyiegbuniwe). PENALTY on ARI-23-R.Alford, Offensive Holding, 10 yards, enforced at ARI 29.","Box Score"
"","0.88","PHI","SF","2","2021-09-19","3","13:43","4","12","(13:43) 8-A.Siposs punts 54 yards to SF 23, Center-45-R.Lovato. 11-B.Aiyuk to SF 36 for 13 yards (22-M.Epps; 54-S.Bradley). PENALTY on SF-36-M.Harris, Illegal Block Above the Waist, 10 yards, enforced at SF 36.","Box Score"
"","0.86","NYG","CHI","17","2022-01-02","1","4:45","4","16","(4:45) 9-R.Dixon punts 46 yards to CHI 22, Center-58-C.Kreiter. 17-J.Grant to CHI 23 for 1 yard (20-J.Love). PENALTY on CHI-35-R.Nall, Illegal Block Above the Waist, 10 yards, enforced at CHI 23.","Box Score"
"","0.86","TEN","BUF","6","2021-10-18","1","5:16","4","6","(5:16) 8-J.Townsend punts 44 yards to BUF 31, Center-46-M.Cox. 19-I.McKenzie ran ob at BUF 45 for 14 yards (41-K.Blasingame). PENALTY on BUF-53-T.Dodson, Offensive Holding, 10 yards, enforced at BUF 31. Penalty on BUF-9-A.Smith, Illegal Blindside Block, declined.","Box Score"
