"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","4.98","NYG","DAL","15","2021-12-19","3","13:48","4","1","(13:48) 28-D.Booker left end to DAL 35 for 31 yards (18-D.Kazee). PENALTY on DAL-18-D.Kazee, Horse Collar Tackle, 15 yards, enforced at DAL 35.","Box Score"
"","4.22","TEN","HOU","18","2022-01-09","2","0:22","3","10","(:22) (Shotgun) 17-R.Tannehill pass deep middle intended for 81-R.McMath INTERCEPTED by 1-L.Johnson at HOU 0. Touchback. PENALTY on HOU-23-E.Murray, Defensive Pass Interference, 45 yards, enforced at HOU 49 - No Play.","Box Score"
"","4.12","NE","IND","15","2021-12-18","4","2:50","3","6","(2:50) (Shotgun) 10-M.Jones pass deep middle to 1-N.Harry to IND 15 for 43 yards (34-I.Rodgers). PENALTY on IND-97-A.Muhammad, Roughing the Passer, 8 yards, enforced at IND 15.","Box Score"
"","4.05","LV","CLE","15","2021-12-20","2","14:56","3","5","(14:56) (Shotgun) 4-D.Carr pass incomplete deep left to 7-Z.Jones [92-S.Day]. PENALTY on CLE-36-M.Stewart, Defensive Pass Interference, 46 yards, enforced at LV 9 - No Play.","Box Score"
"","3.94","LV","LAC","18","2022-01-09","2","0:49","2","10","(:49) (Shotgun) 4-D.Carr pass incomplete deep left [42-U.Nwosu]. PENALTY on LAC-25-C.Harris, Defensive Pass Interference, 41 yards, enforced at LAC 42 - No Play.","Box Score"
"","3.93","NYG","PHI","16","2021-12-26","4","6:29","4","8","(6:29) (Shotgun) 2-M.Glennon pass short right to 89-K.Toney to PHI 43 for 4 yards (33-J.Scott). PENALTY on PHI-33-J.Scott, Unnecessary Roughness, 15 yards, enforced at PHI 43.","Box Score"
"","3.89","HOU","SF","17","2022-01-02","4","14:23","3","11","(14:23) (Shotgun) 10-D.Mills pass incomplete deep left to 13-B.Cooks [91-A.Armstead]. PENALTY on SF-26-J.Norman, Defensive Pass Interference, 33 yards, enforced at HOU 19 - No Play.","Box Score"
"","3.73","DEN","KC","18","2022-01-08","1","5:22","4","8","(5:22) 6-S.Martin punts 43 yards to KC 22, Center-46-J.Bobenmoyer, fair catch by 21-M.Hughes. PENALTY on KC-39-Z.Anderson, Roughing the Kicker, 15 yards, enforced at DEN 35 - No Play.","Box Score"
"","3.72","CLE","GB","16","2021-12-25","1","14:20","2","3","(14:20) 6-B.Mayfield pass short right to 24-N.Chubb to GB 28 for 40 yards (31-A.Amos). PENALTY on GB-26-D.Savage, Low Block, 14 yards, enforced at GB 28.","Box Score"
"","3.70","PIT","KC","16","2021-12-26","3","3:55","4","4","(3:55) (Shotgun) 7-B.Roethlisberger pass incomplete deep left to 11-C.Claypool. PENALTY on KC-38-L.Sneed, Defensive Pass Interference, 21 yards, enforced at KC 32 - No Play. Penalty on KC-95-C.Jones, Defensive Offside, declined.","Box Score"
"","3.46","MIA","NE","18","2022-01-09","1","0:53","4","3","(:53) (Punt formation) 5-M.Palardy scrambles left end to MIA 43 for 1 yard (25-B.Bolden). PENALTY on NE-25-B.Bolden, Unnecessary Roughness, 15 yards, enforced at MIA 43.","Box Score"
"","3.46","BUF","ATL","17","2022-01-02","1","3:29","4","3","(3:29) (Shotgun) 17-J.Allen pass incomplete short right to 14-S.Diggs. PENALTY on ATL-24-A.Terrell, Defensive Pass Interference, 2 yards, enforced at ATL 3 - No Play.","Box Score"
"","3.38","CHI","SEA","16","2021-12-26","1","3:26","3","10","(3:26) (Shotgun) 9-N.Foles pass incomplete deep right to 11-D.Mooney [56-J.Brooks]. PENALTY on SEA-28-U.Amadi, Defensive Pass Interference, 26 yards, enforced at SEA 41 - No Play.","Box Score"
"","3.31","TEN","MIA","17","2022-01-02","4","5:25","4","4","(5:25) 6-B.Kern punts 26 yards to MIA 12, Center-46-M.Cox, fair catch by 8-J.Holland. PENALTY on MIA-29-Br.Jones, Roughing the Kicker, 15 yards, enforced at MIA 38 - No Play.","Box Score"
"","3.28","SF","TEN","16","2021-12-23","1","3:54","2","7","(3:54) 10-J.Garoppolo pass short left to 44-K.Juszczyk pushed ob at TEN 40 for 26 yards (31-K.Byard). PENALTY on TEN-26-K.Fulton, Face Mask (15 Yards), 15 yards, enforced at TEN 40.","Box Score"
"","3.24","IND","ARI","16","2021-12-25","4","6:45","3","9","(6:45) (Shotgun) 2-C.Wentz pass short left to 10-D.Patmon for 14 yards, TOUCHDOWN. PENALTY on ARI-94-Z.Allen, Roughing the Passer, 8 yards, enforced between downs.","Box Score"
"","3.16","GB","DET","18","2022-01-09","3","10:31","4","2","(10:31) (Shotgun) PENALTY on DET-99-J.Okwara, Neutral Zone Infraction, 5 yards, enforced at DET 41 - No Play.","Box Score"
"","3.13","MIA","NE","18","2022-01-09","3","4:42","3","7","(4:42) (Shotgun) 1-T.Tagovailoa pass incomplete deep left to 86-M.Hollins. PENALTY on NE-2-J.Mills, Defensive Pass Interference, 24 yards, enforced at NE 25 - No Play.","Box Score"
"","3.07","NYG","CHI","17","2022-01-02","4","8:56","4","9","(8:56) (Shotgun) 2-M.Glennon sacked at NYG 46 for -5 yards (55-B.Irvin). PENALTY on CHI-44-A.Ogletree, Defensive Holding, 5 yards, enforced at CHI 49 - No Play.","Box Score"
"","3.03","MIN","CHI","15","2021-12-20","3","10:17","3","18","(10:17) (Shotgun) 33-D.Cook left tackle to MIN 20 for 5 yards (37-T.Tabor). PENALTY on CHI-37-T.Tabor, Low Block, 15 yards, enforced at MIN 20.","Box Score"
"","3.02","DEN","CIN","15","2021-12-19","3","1:21","2","9","(1:21) (Shotgun) 3-D.Lock pass deep left to 81-T.Patrick for 25 yards, TOUCHDOWN. PENALTY on DEN-81-T.Patrick, Taunting, 15 yards, enforced between downs.","Box Score"
"","2.98","ARI","SEA","18","2022-01-09","1","0:39","4","4","(:39) (No Huddle, Shotgun) PENALTY on SEA-94-R.Green, Neutral Zone Infraction, 5 yards, enforced at SEA 46 - No Play.","Box Score"
