"Rank","Expected Points Added (EPA)","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","-0.17","SF","DAL","20","2023-01-22","4","0:51","4","10","(:51) (Run formation) PENALTY on SF, Delay of Game, 5 yards, enforced at DAL 44 - No Play.","Box Score"
"","-0.20","CIN","BUF","20","2023-01-22","4","2:39","4","1","(2:39) (Run formation) PENALTY on CIN-67-C.Volson, False Start, 4 yards, enforced at CIN 49 - No Play.","Box Score"
"","-0.37","PHI","NYG","20","2023-01-21","3","1:40","4","8","(1:40) (Punt formation) PENALTY on PHI, Delay of Game, 5 yards, enforced at NYG 38 - No Play.","Box Score"
"","-0.45","DAL","SF","20","2023-01-22","3","6:05","4","5","(6:05) (Shotgun) PENALTY on DAL, Delay of Game, 5 yards, enforced at SF 40 - No Play.","Box Score"
