"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","12.00","SEA","SF","12","2023-11-23","2","4:19","3","6","(4:19) (Shotgun) PENALTY on SEA-70-J.Peters, False Start, 4 yards, enforced at SEA 32 - No Play.","Box Score"
"","12.00","MIN","CHI","12","2023-11-27","3","4:57","3","9","(4:57) (Shotgun) 15-J.Dobbs pass incomplete short right to 3-J.Addison (32-T.Smith). PENALTY on CHI-33-J.Johnson, Defensive Holding, 5 yards, enforced at MIN 44 - No Play.","Box Score"
"","12.00","MIN","CHI","12","2023-11-27","2","8:59","3","5","(8:59) (Shotgun) 15-J.Dobbs pass incomplete deep left to 87-T.Hockenson [98-M.Sweat]. PENALTY on CHI-32-T.Smith, Illegal Contact, 5 yards, enforced at MIN 38 - No Play. Penalty on CHI-4-E.Jackson, Defensive Holding, declined.","Box Score"
"","12.00","MIN","CHI","12","2023-11-27","2","10:09","2","4","(10:09) (No Huddle) 15-J.Dobbs pass incomplete deep right to 3-J.Addison. PENALTY on CHI-99-G.Dexter, Roughing the Passer, 15 yards, enforced at MIN 18 - No Play.","Box Score"
"","12.00","CHI","MIN","12","2023-11-27","2","11:25","2","10","(11:25) (Shotgun) PENALTY on CHI-58-D.Wright, False Start, 5 yards, enforced at CHI 48 - No Play.","Box Score"
"","12.00","CHI","MIN","12","2023-11-27","1","2:09","2","22","(2:09) (Shotgun) PENALTY on CHI, Offensive Too Many Men on Field, 5 yards, enforced at 50 - No Play.","Box Score"
"","12.00","TB","IND","12","2023-11-26","4","2:02","2","3","(2:02) (No Huddle, Shotgun) 6-B.Mayfield pass short left to 14-C.Godwin to TB 49 for 7 yards (23-K.Moore). PENALTY on TB-1-R.White, Illegal Shift, 5 yards, enforced at TB 42 - No Play.","Box Score"
"","12.00","TB","IND","12","2023-11-26","2","3:13","1","10","(3:13) (Shotgun) 6-B.Mayfield pass incomplete deep left to 14-C.Godwin. PENALTY on IND-23-K.Moore, Roughing the Passer, 15 yards, enforced at TB 46 - No Play.","Box Score"
"","12.00","TB","IND","12","2023-11-26","1","2:24","2","4","(2:24) (Shotgun) 22-C.Edmonds right tackle to TB 34 for 3 yards (93-E.Johnson). PENALTY on IND-94-Ty.Lewis, Defensive Offside, 5 yards, enforced at TB 31 - No Play.","Box Score"
"","12.00","IND","TB","12","2023-11-26","1","6:14","1","10","(6:14) (Shotgun) 10-G.Minshew pass incomplete deep middle to 11-M.Pittman [7-S.Barrett]. PENALTY on TB-24-C.Davis, Defensive Holding, 5 yards, enforced at IND 45 - No Play.","Box Score"
