"Rank","Week","Offense","Defense","Week","Date","Quarter","Time","Down","Distance","Description","Box Scores"
"","17.00","NYG","LA","17","2023-12-31","2","0:04","4","14","(:04) 21-M.Crosby 45 yard field goal is BLOCKED (18-B.Skowronek), Center-59-C.Kreiter, Holder-6-J.Gillan. PENALTY on LA-18-B.Skowronek, Leaping, 14 yards, enforced at LA 27 - No Play.","Box Score"
"","16.00","CLE","HOU","16","2023-12-24","4","12:56","4","5","(12:56) (Shotgun) 15-J.Flacco pass short right to 2-A.Cooper pushed ob at HOU 2 for 11 yards (24-D.Stingley). PENALTY on HOU-25-D.King, Unnecessary Roughness, 1 yard, enforced at HOU 2.","Box Score"
"","16.00","NYG","PHI","16","2023-12-25","3","7:42","4","4","(7:42) (Shotgun) PENALTY on NYG-61-J.Schmitz, False Start, 5 yards, enforced at PHI 45 - No Play.","Box Score"
"","16.00","NYG","PHI","16","2023-12-25","2","7:36","4","5","(7:36) 6-J.Gillan punts 39 yards to PHI 19, Center-59-C.Kreiter. 18-B.Covey to PHI 24 for 5 yards (59-C.Kreiter). PENALTY on PHI-98-J.Carter, Defensive Offside, 4 yards, enforced at NYG 42 - No Play.","Box Score"
"","16.00","PHI","NYG","16","2023-12-25","2","14:56","4","5","(14:56) (Field Goal formation) PENALTY on PHI, Delay of Game, 5 yards, enforced at NYG 5 - No Play.","Box Score"
"","16.00","SF","BAL","16","2023-12-25","4","1:23","4","12","(1:23) (Shotgun) PENALTY on SF-74-S.Burford, False Start, 5 yards, enforced at BAL 12 - No Play.","Box Score"
"","16.00","BAL","SF","16","2023-12-25","3","2:47","4","1","(2:47) (Field Goal formation) PENALTY on BAL, Delay of Game, 5 yards, enforced at SF 1 - No Play.","Box Score"
"","16.00","SF","BAL","16","2023-12-25","1","6:57","4","1","(6:57) 13-B.Purdy sacked at BAL 46 for -13 yards (44-M.Humphrey). PENALTY on BAL-28-R.Darby, Defensive Holding, 5 yards, enforced at BAL 33 - No Play.","Box Score"
"","16.00","WAS","NYJ","16","2023-12-24","1","12:04","4","20","(12:04) (Punt formation) PENALTY on WAS-34-C.Holmes, False Start, 5 yards, enforced at WAS 15 - No Play.","Box Score"
"","16.00","SEA","TEN","16","2023-12-24","2","0:54","4","14","(:54) (Punt formation) PENALTY on SEA, Delay of Game, 5 yards, enforced at TEN 43 - No Play.","Box Score"
"","16.00","NE","DEN","16","2023-12-24","4","1:58","4","11","(1:58) 17-B.Baringer punts 76 yards to end zone, Center-49-J.Cardona, Touchback. PENALTY on NE-45-C.Board, Player Out of Bounds on Kick, 5 yards, enforced at NE 24 - No Play.","Box Score"
"","16.00","JAX","TB","16","2023-12-24","3","9:26","4","8","(9:26) (Shotgun) PENALTY on JAX, Delay of Game, 5 yards, enforced at TB 35 - No Play.","Box Score"
"","16.00","TB","JAX","16","2023-12-24","2","4:50","4","5","(4:50) (Shotgun) 6-B.Mayfield pass incomplete deep middle to 13-M.Evans (32-Ty.Campbell). PENALTY on JAX-5-A.Cisco, Roughing the Passer, 15 yards, enforced at JAX 34 - No Play.","Box Score"
"","16.00","ATL","IND","16","2023-12-24","2","6:09","4","5","(6:09) 6-Y.Koo 49 yard field goal is No Good, Hit Right Upright, Center-49-L.McCullough, Holder-13-B.Pinion. PENALTY on IND-37-A.Speed, Defensive Offside, 4 yards, enforced at IND 31 - No Play.","Box Score"
"","16.00","CAR","GB","16","2023-12-24","4","12:51","4","4","(12:51) (Punt formation) PENALTY on CAR, Delay of Game, 5 yards, enforced at CAR 43 - No Play.","Box Score"
"","16.00","HOU","CLE","16","2023-12-24","4","0:38","4","10","(:38) (Shotgun) 10-D.Mills pass short right to 86-D.Schultz to CLE 48 for 5 yards (37-Da.Bell). PENALTY on CLE-95-M.Garrett, Defensive Offside, 5 yards, enforced at HOU 47 - No Play.","Box Score"
"","16.00","BUF","LAC","16","2023-12-23","4","9:28","4","30","(9:28) (Punt formation) PENALTY on BUF-33-S.Neal, False Start, 2 yards, enforced at BUF 5 - No Play.","Box Score"
"","16.00","ARI","CHI","16","2023-12-24","4","7:36","4","2","(7:36) (Shotgun) 1-K.Murray pass incomplete deep left to 85-T.McBride. PENALTY on CHI-9-J.Brisker, Defensive Holding, 5 yards, enforced at CHI 48 - No Play.","Box Score"
"","16.00","NYJ","WAS","16","2023-12-24","2","5:17","4","3","(5:17) (Punt formation) PENALTY on WAS-26-T.Castro-Fields, Encroachment, 5 yards, enforced at NYJ 36 - No Play.","Box Score"
"","16.00","SF","BAL","16","2023-12-25","3","13:29","4","5","(13:29) (Punt formation) PENALTY on SF-36-J.McNichols, False Start, 5 yards, enforced at SF 30 - No Play.","Box Score"
"","16.00","CAR","GB","16","2023-12-24","1","13:25","4","8","(13:25) 10-J.Hekker punts 55 yards to GB 28, Center-44-J.Jansen. 25-K.Nixon to GB 48 for 20 yards (21-J.Chinn; 42-S.Franklin). CAR-90-A.Barno was injured during the play.  PENALTY on GB-90-L.Van Ness, Roughing the Kicker, 15 yards, enforced at CAR 17 - No Play.","Box Score"
"","16.00","DET","MIN","16","2023-12-24","4","2:50","4","13","(2:50) 3-J.Fox punts 52 yards to MIN 7, Center-43-J.McQuaide, downed by DET-13-C.Reynolds. PENALTY on DET-59-T.Nowaske, Illegal Formation, 5 yards, enforced at DET 41 - No Play.","Box Score"
"","16.00","DAL","MIA","16","2023-12-24","4","4:23","4","4","(4:23) (Shotgun) 4-D.Prescott pass incomplete short right to 9-K.Turpin. PENALTY on MIA-21-D.Elliott, Defensive Pass Interference, 3 yards, enforced at MIA 4 - No Play. Penalty on MIA-25-X.Howard, Defensive Pass Interference, declined.","Box Score"
"","16.00","CLE","HOU","16","2023-12-24","1","1:58","4","7","(1:58) 13-C.Bojorquez punts 46 yards to HOU 8, Center-47-C.Hughlett, fair catch by 2-R.Woods. PENALTY on CLE-88-H.Bryant, Offensive Holding, 10 yards, enforced at CLE 46 - No Play.","Box Score"
"","16.00","CHI","ARI","16","2023-12-24","2","2:00","4","4","(2:00) 16-T.Gill punts 52 yards to ARI 17, Center-48-P.Scales, downed by CHI-31-Ja.Jones. PENALTY on CHI-31-Ja.Jones, Illegal Touch Kick, 5 yards, enforced at CHI 31 - No Play.","Box Score"
"","15.00","ATL","CAR","15","2023-12-17","2","13:10","4","5","(13:10) (Punt formation) PENALTY on ATL-29-M.Abernathy, False Start, 5 yards, enforced at ATL 22 - No Play.","Box Score"
"","15.00","WAS","LA","15","2023-12-17","4","2:31","4","7","(2:31) (Shotgun) 12-J.Brissett pass incomplete short left to 17-T.McLaurin. PENALTY on LA-1-D.Kendrick, Defensive Pass Interference, 6 yards, enforced at LA 7 - No Play.","Box Score"
"","15.00","NYG","NO","15","2023-12-17","1","13:30","4","1","(13:30) 6-J.Gillan punts 57 yards to NO 9, Center-59-C.Kreiter, fair catch by 22-R.Shaheed. PENALTY on NO-48-J.Gray, Running Into the Kicker, 6 yards, enforced at NYG 34 - No Play.","Box Score"
"","15.00","BAL","JAX","15","2023-12-17","3","4:22","4","7","(4:22) (Shotgun) PENALTY on BAL, Delay of Game, 5 yards, enforced at JAX 38 - No Play.","Box Score"
"","15.00","ATL","CAR","15","2023-12-17","1","5:21","4","11","(5:21) (Punt formation) PENALTY on ATL-29-M.Abernathy, False Start, 5 yards, enforced at ATL 33 - No Play.","Box Score"
"","15.00","SEA","PHI","15","2023-12-18","4","11:21","4","3","(11:21) (Shotgun) 2-D.Lock pass incomplete short right to 14-D.Metcalf. PENALTY on PHI-24-J.Bradberry, Defensive Pass Interference, 5 yards, enforced at PHI 31 - No Play.","Box Score"
"","15.00","SEA","PHI","15","2023-12-18","1","0:05","4","6","(:05) 4-M.Dickson punts 45 yards to PHI 12, Center-41-C.Stoll, downed by SEA-59-J.Rhattigan. PENALTY on SEA-59-J.Rhattigan, Illegal Bat, 10 yards, enforced at SEA 43 - No Play.","Box Score"
"","15.00","LA","WAS","15","2023-12-17","3","2:07","4","3","(2:07) (Shotgun) PENALTY on LA, Delay of Game, 5 yards, enforced at WAS 42 - No Play.","Box Score"
"","15.00","GB","TB","15","2023-12-17","2","2:41","4","6","(2:41) (Shotgun) PENALTY on GB, Delay of Game, 5 yards, enforced at TB 49 - No Play.","Box Score"
"","15.00","MIA","NYJ","15","2023-12-17","2","14:12","4","5","(14:12) (Run formation) PENALTY on MIA, Delay of Game, 5 yards, enforced at NYJ 14 - No Play.","Box Score"
"","15.00","BUF","DAL","15","2023-12-17","1","0:25","4","8","(:25) 8-S.Martin punts 46 yards to DAL 28, Center-69-R.Ferguson. 9-K.Turpin to DAL 24 for -4 yards (25-T.Dodson). PENALTY on DAL-54-S.Williams, Roughing the Kicker, 15 yards, enforced at BUF 26 - No Play.","Box Score"
"","15.00","DEN","DET","15","2023-12-16","3","0:50","4","1","(:50) 20-M.Burton up the middle for 1 yard, TOUCHDOWN NULLIFIED by Penalty. PENALTY on DEN-77-Q.Meinerz, Offensive Offside, 4 yards, enforced at DET 1 - No Play.","Box Score"
